ORIGIN,FUNCTION_IN_ORIGIN,FUNCTION_AT_DESTINATION_1,FUNCTION_AT_DESTINATION_2,FUNCTION_AT_DESTINATION_3,Family,Subfamily,Activity description,Glycan_annotation,Substrate annotation taken from characterized enzyme description CAZy.org,dbCAN3_Substrate_curated,dbCAN3_Substrate_high_level,Agreement,Comments,,,,,,,,,,,,
"Plant,Algae,Bacteria,Animal,Fungi",Structural,DF,NSP,"Cellulose,Chitin",CBM1,CBM1,cellulose binding; chitin binding,"chitin,cellulose",yes,"cellulose, chitin","cellulose, chitin",Largely agree,,,,,,,,,,,,,
"Plant,Algae,Bacteria,Animal,Fungi",Structural,DF,NSP,"Cellulose,Hemicellulose,Chitin",CBM2,CBM2,cellulose binding; chitin binding; xylan binding,"xylan,chitin,cellulose",yes,"cellulose, chitin, xylan","cellulose, chitin, xylan",Largely agree,,,,,,,,,,,,,
"Plant,Algae,Bacteria,Animal,Fungi",Structural,DF,NSP,"Cellulose,Chitin",CBM3,CBM3,cellulose binding; chitin binding,"chitin,cellulose",yes,"cellulose,chitin","cellulose, chitin",Largely agree,,,,,,,,,,,,,
"Plant,Bacteria,Fungi,Algae",Structural,DF,NSP,"Hemicellulose,Cellulose",CBM4,CBM4,"xylan binding; β-1,3-glucan, β-1,3-1,4-glucan, and β-1,6-glucan binding; cellulose binding","beta-glucan,xylan,cellulose",yes,"xylan, beta-1,3-glucan, beta-1,3-1,4-glucan, beta-1,6-glucan and amorphous cellulose","xylan, beta-glucan",Largely agree,,,,,,,,,,,,,
"Animal,Fungi",Structural,DF,NSP,Chitin,CBM5,CBM5,chitin binding,chitin,yes,chitin,chitin,Largely agree,,,,,,,,,,,,,
"Plant,Bacteria,Fungi,Algae",Structural,DF,NSP,"Hemicellulose,Cellulose",CBM6,CBM6,"xylan binding; β-1,3-glucan, β-1,3-1,4-glucan, and β-1,6-glucan binding; cellulose binding","beta-glucan,xylan,cellulose",yes,"amorphous cellulose, beta-1,4-xylan,beta-1,3-glucan, beta-1,3-1,4-glucan, and beta-1,4-glucan","beta-glucan, xylan, cellulose",Largely agree,,,,,,,,,,,,,
"Plant,Algae,Bacteria",Structural,DF,NSP,Cellulose,CBM8,CBM8,cellulose binding,cellulose,yes,cellulose,cellulose,Largely agree,,,,,,,,,,,,,
"Plant,Algae,Bacteria",Structural,DF,NSP,"Cellulose,Hemicellulose",CBM9,CBM9,xylan binding; cellulose binding,"xylan,cellulose",yes,cellulose,cellulose,"Agree, in favor of our annotation",based on reported function,,,,,,,,,,,,
"Plant,Algae,Bacteria",Structural,DF,NSP,Cellulose,CBM10,CBM10,cellulose binding,cellulose,yes,cellulose,cellulose,Largely agree,,,,,,,,,,,,,
"Plant,Bacteria,Fungi,Algae",Structural,DF,NSP,"Hemicellulose,Cellulose",CBM11,CBM11,"β-1,4-glucan and β-1,3-1,4-mixed linked glucans binding","beta-glucan,cellulose",yes,"cellulose, mixed linked glucan",beta-glucan,Largely agree,,,,,,,,,,,,,
"Animal,Fungi",Structural,DF,NSP,Chitin,CBM12,CBM12,chitin binding,chitin,yes,chitin,chitin,Largely agree,,,,,,,,,,,,,
"Plant,Animal",Structural,DF,NSP,"Hemicellulose,Glycoprotein",CBM13,CBM13,xylan binding; GalNAc binding,"xylan,GalNAc",yes,"plant lectin, xylan",xylan,"Agree, in favor of our annotation",based on reported function,,,,,,,,,,,,
"Animal,Fungi",Structural,DF,NSP,Chitin,CBM14,CBM14,chitin binding,chitin,yes,chitin,chitin,Largely agree,,,,,,,,,,,,,
Plant,Structural,DF,NSP,Hemicellulose,CBM15,CBM15,xylan binding; XOS binding,xylan,yes,xylan and xylooligosaccharide,xylan,Largely agree,,,,,,,,,,,,,
