Organism,Scaffold,Start,End,Score,JH724241_545,JH724241_546,JH724241_547,JH724241_548,JH724241_549,JH724241_550,JH724241_551,JH724241_552,JH724241_553,JH724241_554,JH724241_555,JH724241_556,JH724241_557,JH724241_558
JH724241,JH724241.1,777586,798381,28.3553,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NZ_CP046176,NZ_CP046176.1,3794773,3807425,6.4383,0,1,1,1,1,0,0,0,0,0,1,0,0,0
NZ_DS995531,NZ_DS995531.1,358800,371452,6.4383,0,1,1,1,1,0,0,0,0,0,1,0,0,0
