genome	pulid	contigid	start	end	pattern
ABJL02000008	PUL1	ABJL02000008.1	57190	61571	susC-susD
ABJL02000008	PUL2	ABJL02000008.1	438549	445735	susD-susC-unk-unk-GT2_Glycos_transf_2
ABJL02000008	PUL3	ABJL02000008.1	530975	537190	GH39-susD-susC
ABJL02000008	PUL4	ABJL02000008.1	736870	743569	susC-susD-GH27;CBM51
ABJL02000008	PUL5	ABJL02000008.1	758457	763154	susD-susC
ABJL02000008	PUL6	ABJL02000008.1	801601	827574	GH2_10-GH88-susD-susC-susD-susC-unk-GH95-GH29-GH105-PL8_3
ABJL02000008	PUL7	ABJL02000008.1	835017	858646	GH43_29-GH51_2-GH43_4-unk-unk-susC-susD-susC-susD-unk-GH43_4
ABJL02000008	PUL8	ABJL02000008.1	896371	910988	susC-susD-susC-susD-unk-unk-GH30_8
ABJL02000008	PUL9	ABJL02000008.1	930854	963030	GT51-unk-PL8_3-GH3-GH2_4-GH97-unk-CE20-unk-unk-GH88-unk-PL35-susC-susD-unk-CE15
ABJL02000008	PUL10	ABJL02000008.1	974915	993816	GH105-susD-susC-unk-GH154-GH154-unk-unk-GT2_Glycos_transf_2
ABJL02000008	PUL11	ABJL02000008.1	1100075	1110086	susD-susC-unk-unk-unk-PL1_2
ABJL02000008	PUL12	ABJL02000008.1	1127563	1149974	CE1-unk-unk-unk-unk-PL6_1-GH2_1-unk-susC-susD-unk-unk-susC-susC-susD
ABJL02000008	PUL13	ABJL02000008.1	1153327	1188554	PL29-unk-unk-unk-unk-susC-unk-unk-susD-susC-PL29-GH95-PL8_3-GH105-PL38-GH2_2-GH88-unk-GH105
ABJL02000008	PUL14	ABJL02000008.1	1395772	1418805	GH36-unk-unk-unk-unk-GH32-unk-unk-GH32-susC-susD-unk-GH32
ABJL02000008	PUL15	ABJL02000008.1	1800920	1816358	PL40-unk-unk-unk-susC-susD-unk-GH28
ABJL02000008	PUL16	ABJL02000008.1	1843303	1851142	susC-susD-unk-GH18
ABJL02000008	PUL17	ABJL02000008.1	1960339	1983337	GH3-GH20-unk-GH127-unk-susD-susC-susD-susC-unk-GH106
ABJL02000008	PUL18	ABJL02000008.1	2427922	2456206	GH97-unk-unk-GH3-GH16_3-unk-susD-susC-unk-unk-unk-GH20-unk-unk-unk-GH123
ABJL02000008	PUL19	ABJL02000008.1	2473402	2523522	susC-susD-unk-GH10-unk-GH35-CE20-unk-GH10;GH43_12;CBM91-GH43_1-unk-GH67-unk-unk-unk-GH8-CE6;GH95-CE1-GH5_21-unk-GH10-unk-susD-unk-susD-susC
ABJL02000008	PUL20	ABJL02000008.1	2551528	2582810	GH92-GH130_2-unk-GH92-GH97-unk-unk-unk-susD-susC-GH92-unk-unk-GH92-unk-unk-unk-susC
ABJL02000008	PUL21	ABJL02000008.1	2602821	2616026	CE12-unk-GH105-GH28-unk-GH42-unk-susD-susC
ABJL02000008	PUL22	ABJL02000008.1	2618289	2638548	susC-susD-unk-PL11-GH2_21-PL26-PL11_1;GH28-GH105
ABJL02000008	PUL23	ABJL02000008.1	2756416	2767437	susD-susC-CE8-PL1_2-susC
ABJL02000008	PUL24	ABJL02000008.1	2795270	2829223	GH28-unk-GH43_10-unk-GH95-susC-susD-unk-susC-susD-unk-CE19-CE19-CE7-CE12;CE8-AA18-CE8-GH105
ABJL02000008	PUL25	ABJL02000008.1	3042638	3055348	susD-susC-unk-unk-unk-susD-susC
ABJL02000008	PUL26	ABJL02000008.1	3058427	3063128	susD-susC
ABJL02000008	PUL27	ABJL02000008.1	3066511	3070966	susD-susC
ABJL02000008	PUL28	ABJL02000008.1	3073724	3078289	susC-susD
ABJL02000008	PUL29	ABJL02000008.1	3182420	3206888	GH3-unk-GH2-unk-susD-susC-unk-GH2_23-unk-unk-unk-CE12
ABJL02000008	PUL30	ABJL02000008.1	3236068	3251012	susC-susD-unk-GH2_1-GH78-GH27-GH78
ABJL02000008	PUL31	ABJL02000008.1	3400693	3420626	GH9-unk-unk-GH55_1-susC-susD-susC-susD-unk-unk-GH18
