Organism,Scaffold,Start,End,Score,EQ973490_1327,EQ973490_1328,EQ973490_1329,EQ973490_1330,EQ973490_1331,EQ973490_1332,EQ973490_1333,EQ973490_1334,EQ973490_1335,EQ973490_1336
CP012801,CP012801.1,4356232,4368420,7.6509,0,0,0,0,0,0,1,1,1,1
CP012801,CP012801.1,4327984,4337595,7.6080,1,1,1,1,0,0,0,0,0,0
CP129143,CP129143.1,1627947,1639973,7.5527,0,0,0,0,0,0,1,1,1,1
EQ973490,EQ973490.1,1996376,2022549,20.4824,1,1,1,1,1,1,1,1,1,1
GL882630,GL882630.1,15118,27099,7.5589,0,0,0,0,0,0,1,1,1,1
NZ_EQ973490,NZ_EQ973490.1,1996376,2022549,20.4824,1,1,1,1,1,1,1,1,1,1
