Organism,Scaffold,Start,End,Score,CP001348_744,CP001348_745,CP001348_746,CP001348_747,CP001348_748,CP001348_749,CP001348_750,CP001348_751,CP001348_752,CP001348_753,CP001348_754,CP001348_755
CP001348,CP001348.1,838274,864108,24.6100,1,1,1,1,1,1,1,1,1,1,1,1
CP119677,CP119677.1,2236580,2256831,19.0969,0,1,1,1,1,1,1,1,1,1,0,1
NC_011898,NC_011898.1,838274,864108,24.6100,1,1,1,1,1,1,1,1,1,1,1,1
