Organism,Scaffold,Start,End,Score,NZ_DS990126_22,NZ_DS990126_23,NZ_DS990126_24,NZ_DS990126_25,NZ_DS990126_26,NZ_DS990126_27,NZ_DS990126_28,NZ_DS990126_29,NZ_DS990126_30,NZ_DS990126_31,NZ_DS990126_32
AP006841,AP006841.1,1978556,1982397,7.2157,0,0,0,1,1,1,1,0,0,0,0
CP000139,CP000139.1,5064220,5067598,5.1876,0,0,0,0,1,1,1,0,0,0,0
CR626927,CR626927.1,1995683,1999524,7.2155,0,0,0,1,1,1,1,0,0,0,0
FP929033,FP929033.1,434755,438602,6.2041,0,0,0,1,1,1,1,0,0,0,0
FQ312004,FQ312004.1,2001116,2008685,8.3790,0,1,0,1,1,1,1,0,0,0,0
LR131284,LR131284.1,2095,10792,17.5452,0,0,1,1,1,1,1,1,1,1,1
LT622246,LT622246.1,4568946,4572792,6.2046,0,0,0,1,1,1,1,0,0,0,0
NZ_CP046176,NZ_CP046176.1,3677314,3680692,5.1868,0,0,0,0,1,1,1,0,0,0,0
NZ_CP113514,NZ_CP113514.1,2323977,2328027,6.2071,0,0,0,1,1,1,1,0,0,0,0
NZ_CP113514,NZ_CP113514.1,2716739,2720586,6.2043,0,0,0,1,1,1,1,0,0,0,0
NZ_DS990126,NZ_DS990126.1,30383,44355,21.8802,1,1,1,1,1,1,1,1,1,1,1
NZ_KB905472,NZ_KB905472.1,3014165,3017997,6.2087,0,0,0,1,1,1,1,0,0,0,0
