sequence_id	length
CP012938	6472489
CP098927	5310763
LN554884	2786686
CP092752	5617899
CP173197	1944145
LT674131	35820
CP128458	3654319
CP002745	5186898
LT622246	6475296
CP016312	2035182
EU065883	565
CP109280	6066002
CP175305	243513
CP072197	2239089
KU547913	6769
EU058944	744
CP008934	3654829
CP102259	6472384
CP014864	3938396
LR594809	36481
LT674124	40408
CP001128	1884540
LT674128	44062
CP034973	3063065
CP176406	4960033
JQ963622	1923
CP002160	5262222
LR594814	42594
AM285304	290001
CP001656	7184930
CP118723	4965686
CP144686	249487
AF160811	10671
AB669414	2220
AP009044	3314179
LR594820	36268
CP001348	4068724
CP147877	4217427
LT674123	35883
CP067366	63181
LT674132	30877
AY534912	2058
LT674126	32370
LR131274	33103
AB025721	2376
