Organism,Scaffold,Start,End,Score,ABJL02000008_737,ABJL02000008_738,ABJL02000008_739,ABJL02000008_740,ABJL02000008_741,ABJL02000008_742,ABJL02000008_743,ABJL02000008_744,ABJL02000008_745,ABJL02000008_746,ABJL02000008_747,ABJL02000008_748,ABJL02000008_749,ABJL02000008_750,ABJL02000008_751,ABJL02000008_752,ABJL02000008_753,ABJL02000008_754,ABJL02000008_755,ABJL02000008_756,ABJL02000008_757,ABJL02000008_758,ABJL02000008_759,ABJL02000008_760
AAXF02000045,AAXF02000045.1,72605,89437,19.9212,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0
ABJL02000008,ABJL02000008.1,835016,876949,46.6790,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
AE015928,AE015928.1,415101,429890,18.8031,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0
AE015928,AE015928.1,450804,455321,5.2619,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CP000139,CP000139.1,2990687,3000969,11.4620,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,0,0
CP012801,CP012801.1,942620,958707,20.0008,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1
CP129143,CP129143.1,2918327,2930222,16.7010,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,0,0
FP929033,FP929033.1,1838808,1853927,15.6747,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0
FP929033,FP929033.1,1867497,1872020,5.2645,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HF548278,HF548278.1,491,36985,30.6135,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0
LT622246,LT622246.1,4042203,4059035,19.9195,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0
NC_004663,NC_004663.1,415101,429890,18.8031,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0
NC_004663,NC_004663.1,450804,455321,5.2615,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NC_009614,NC_009614.1,2990687,3000969,11.4620,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,0,0
NZ_ABJL02000008,NZ_ABJL02000008.1,835016,876949,46.6789,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
NZ_CP012938,NZ_CP012938.1,275314,292146,19.9212,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0
NZ_CP046176,NZ_CP046176.1,1289961,1300243,11.4615,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,0,0
NZ_CP102288,NZ_CP102288.1,864252,872015,5.3029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0
NZ_CP113514,NZ_CP113514.1,2176034,2192876,16.8181,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,0,0
NZ_DS362241,NZ_DS362241.1,16739,28634,16.7010,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,0,0
NZ_DS990130,NZ_DS990130.1,698604,707038,11.4490,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,0,0
