genome	pulid	contigid	start	end	pattern
NZ_JQNJ01000001	PUL1	NZ_JQNJ01000001.1	61074	65537	susD-susC
NZ_JQNJ01000001	PUL2	NZ_JQNJ01000001.1	359115	372484	CE1-unk-susD-susC-unk-unk-unk-unk-CE1
NZ_JQNJ01000001	PUL3	NZ_JQNJ01000001.1	379301	386092	susC-susD-unk-unk-GH3
NZ_JQNJ01000001	PUL4	NZ_JQNJ01000001.1	490145	512351	GH26-unk-CE2-unk-unk-GH9-GH26-unk-GH130_1-GH26-unk-susD-susC
NZ_JQNJ01000001	PUL5	NZ_JQNJ01000001.1	520104	526591	susC-susD-GH109
NZ_JQNJ01000001	PUL6	NZ_JQNJ01000001.1	565224	569911	susD-susC
NZ_JQNJ01000001	PUL7	NZ_JQNJ01000001.1	599355	614327	susD-susC-unk-unk-CBM9-unk-unk-susC
NZ_JQNJ01000001	PUL8	NZ_JQNJ01000001.1	977403	987719	GH13_38-GH65-unk-susC-susD
NZ_JQNJ01000001	PUL9	NZ_JQNJ01000001.1	1752619	1793183	GH67-unk-unk-GH10-CE20-CE15-GH2_1-GH30_8-unk-unk-unk-unk-susD-susC-GH43_1-unk-unk-unk-unk-susC-susD
NZ_JQNJ01000001	PUL10	NZ_JQNJ01000001.1	2090795	2111045	GH172-unk-unk-unk-GH183-unk-susD-susC-GH97-unk-GH172
NZ_JQNJ01000001	PUL11	NZ_JQNJ01000001.1	2124269	2129211	susC-susD
NZ_JQNJ01000001	PUL12	NZ_JQNJ01000001.1	2138620	2143672	susC-susD
NZ_JQNJ01000001	PUL13	NZ_JQNJ01000001.1	2916096	2922110	susC-susD-CE14
NZ_JQNJ01000001	PUL14	NZ_JQNJ01000001.1	3010206	3028750	GH2_18-GH43_34-GH127-unk-susC-susD-unk-GH43_18-GH43_26-GH43_26-GH5_13
NZ_JQNJ01000001	PUL15	NZ_JQNJ01000001.1	3043908	3064167	GH78;CBM67-unk-susC-susD-unk-GH144-GH144-CE1-GH43_28;CBM32-GH3
NZ_JQNJ01000001	PUL16	NZ_JQNJ01000001.1	3098938	3116202	susC-susD-unk-unk-unk-unk-GH43_29-unk-GH43_5
NZ_JQNJ01000001	PUL17	NZ_JQNJ01000001.1	3128336	3136051	susD-susC-unk-unk-GH31
NZ_JQNJ01000001	PUL18	NZ_JQNJ01000001.1	3153935	3158833	susD-susC
NZ_JQNJ01000001	PUL19	NZ_JQNJ01000001.1	3310374	3316077	susC-susD-GH130_4
NZ_JQNJ01000001	PUL20	NZ_JQNJ01000001.1	4361823	4366689	susD-susC
