genome	pulid	protein_id	contig	start	end	strand	dist	protein_name	sus	hmm	active
NZ_DS990119	PUL1	NZ_DS990119.1_10	NZ_DS990119.1	12812	15562	+	0	NZ_DS990119.1_10	susC		
NZ_DS990119	PUL1	NZ_DS990119.1_11	NZ_DS990119.1	15573	17204	+	11	NZ_DS990119.1_11	susD		
NZ_DS990119	PUL2	NZ_DS990119.1_237	NZ_DS990119.1	273477	274961	-	256273	NZ_DS990119.1_237		GH49	
NZ_DS990119	PUL2	NZ_DS990119.1_238	NZ_DS990119.1	275145	276977	+	184	NZ_DS990119.1_238		GH2_18	
NZ_DS990119	PUL2	NZ_DS990119.1_239	NZ_DS990119.1	276995	278425	+	18	NZ_DS990119.1_239			
NZ_DS990119	PUL2	NZ_DS990119.1_240	NZ_DS990119.1	278519	279955	+	94	NZ_DS990119.1_240		GH27	
NZ_DS990119	PUL2	NZ_DS990119.1_241	NZ_DS990119.1	279973	281952	+	18	NZ_DS990119.1_241		GH43	
NZ_DS990119	PUL2	NZ_DS990119.1_242	NZ_DS990119.1	282063	283442	+	111	NZ_DS990119.1_242			
NZ_DS990119	PUL2	NZ_DS990119.1_243	NZ_DS990119.1	283542	285599	-	100	NZ_DS990119.1_243			
NZ_DS990119	PUL2	NZ_DS990119.1_244	NZ_DS990119.1	285617	286969	-	18	NZ_DS990119.1_244		GH49	
NZ_DS990119	PUL2	NZ_DS990119.1_245	NZ_DS990119.1	287015	288019	-	46	NZ_DS990119.1_245		GH43	
NZ_DS990119	PUL2	NZ_DS990119.1_246	NZ_DS990119.1	288068	288862	-	49	NZ_DS990119.1_246			
NZ_DS990119	PUL2	NZ_DS990119.1_247	NZ_DS990119.1	288868	289167	-	6	NZ_DS990119.1_247			
NZ_DS990119	PUL2	NZ_DS990119.1_248	NZ_DS990119.1	289204	290085	-	37	NZ_DS990119.1_248			
NZ_DS990119	PUL2	NZ_DS990119.1_249	NZ_DS990119.1	290153	293077	-	68	NZ_DS990119.1_249		GH2_22	
NZ_DS990119	PUL2	NZ_DS990119.1_250	NZ_DS990119.1	293194	294813	-	117	NZ_DS990119.1_250	susD		
NZ_DS990119	PUL2	NZ_DS990119.1_251	NZ_DS990119.1	294865	297885	-	52	NZ_DS990119.1_251	susC		
NZ_DS990119	PUL2	NZ_DS990119.1_252	NZ_DS990119.1	298234	299817	-	349	NZ_DS990119.1_252			
NZ_DS990119	PUL2	NZ_DS990119.1_253	NZ_DS990119.1	299831	301444	-	14	NZ_DS990119.1_253		GH43_12;CBM91	
NZ_DS990119	PUL2	NZ_DS990119.1_254	NZ_DS990119.1	301605	302702	-	161	NZ_DS990119.1_254			
NZ_DS990119	PUL2	NZ_DS990119.1_255	NZ_DS990119.1	302732	304432	-	30	NZ_DS990119.1_255	susD		
NZ_DS990119	PUL2	NZ_DS990119.1_256	NZ_DS990119.1	304446	307286	-	14	NZ_DS990119.1_256	susC		
NZ_DS990119	PUL2	NZ_DS990119.1_257	NZ_DS990119.1	307306	309117	-	20	NZ_DS990119.1_257	susD		
NZ_DS990119	PUL2	NZ_DS990119.1_258	NZ_DS990119.1	309130	312321	-	13	NZ_DS990119.1_258	susC		
NZ_DS990119	PUL2	NZ_DS990119.1_259	NZ_DS990119.1	312446	314131	-	125	NZ_DS990119.1_259		GH49	
NZ_DS990119	PUL2	NZ_DS990119.1_260	NZ_DS990119.1	314219	316369	-	88	NZ_DS990119.1_260			
NZ_DS990119	PUL2	NZ_DS990119.1_261	NZ_DS990119.1	316525	317961	-	156	NZ_DS990119.1_261		GH43_2	
NZ_DS990119	PUL2	NZ_DS990119.1_262	NZ_DS990119.1	318000	319046	-	39	NZ_DS990119.1_262			
NZ_DS990119	PUL2	NZ_DS990119.1_263	NZ_DS990119.1	319033	320580	-	-13	NZ_DS990119.1_263			
NZ_DS990119	PUL2	NZ_DS990119.1_264	NZ_DS990119.1	320599	322191	-	19	NZ_DS990119.1_264			
NZ_DS990119	PUL2	NZ_DS990119.1_265	NZ_DS990119.1	322286	324859	-	95	NZ_DS990119.1_265		CBM91;GH43_12;GH43_17	
NZ_DS990119	PUL2	NZ_DS990119.1_266	NZ_DS990119.1	324870	327815	-	11	NZ_DS990119.1_266		GH2_22	
NZ_DS990119	PUL2	NZ_DS990119.1_267	NZ_DS990119.1	327893	329689	-	78	NZ_DS990119.1_267			
NZ_DS990119	PUL2	NZ_DS990119.1_268	NZ_DS990119.1	329696	330940	-	7	NZ_DS990119.1_268			
NZ_DS990119	PUL2	NZ_DS990119.1_269	NZ_DS990119.1	330956	332437	-	16	NZ_DS990119.1_269			
NZ_DS990119	PUL2	NZ_DS990119.1_270	NZ_DS990119.1	332670	333965	+	233	NZ_DS990119.1_270		GH27	
NZ_DS990119	PUL3	NZ_DS990119.1_331	NZ_DS990119.1	400722	403937	+	66757	NZ_DS990119.1_331	susC		
NZ_DS990119	PUL3	NZ_DS990119.1_332	NZ_DS990119.1	403959	405905	+	22	NZ_DS990119.1_332	susD		
NZ_DS990119	PUL3	NZ_DS990119.1_333	NZ_DS990119.1	406043	407506	+	138	NZ_DS990119.1_333			
NZ_DS990119	PUL3	NZ_DS990119.1_334	NZ_DS990119.1	407503	408912	+	-3	NZ_DS990119.1_334		GH29	
