genome	pulid	protein_id	contig	start	end	strand	dist	protein_name	sus	hmm	active
NZ_CAJQES010000007	PUL1	NZ_CAJQES010000007.1_7	NZ_CAJQES010000007.1	8933	10375	-	0	NZ_CAJQES010000007.1_7	susD		
NZ_CAJQES010000007	PUL1	NZ_CAJQES010000007.1_8	NZ_CAJQES010000007.1	10395	13439	-	20	NZ_CAJQES010000007.1_8	susC		
NZ_CAJQES010000007	PUL2	NZ_CAJQES010000007.1_48	NZ_CAJQES010000007.1	59834	62872	+	46395	NZ_CAJQES010000007.1_48	susC		
NZ_CAJQES010000007	PUL2	NZ_CAJQES010000007.1_49	NZ_CAJQES010000007.1	62883	64430	+	11	NZ_CAJQES010000007.1_49	susD		
NZ_CAJQES010000007	PUL2	NZ_CAJQES010000007.1_50	NZ_CAJQES010000007.1	64442	66241	+	12	NZ_CAJQES010000007.1_50			
NZ_CAJQES010000007	PUL2	NZ_CAJQES010000007.1_51	NZ_CAJQES010000007.1	66307	67644	+	66	NZ_CAJQES010000007.1_51		GH144	
NZ_CAJQES010000007	PUL2	NZ_CAJQES010000007.1_52	NZ_CAJQES010000007.1	67728	69077	+	84	NZ_CAJQES010000007.1_52		GH144	
NZ_CAJQES010000007	PUL2	NZ_CAJQES010000007.1_53	NZ_CAJQES010000007.1	69067	69861	+	-10	NZ_CAJQES010000007.1_53		CE1	
NZ_CAJQES010000007	PUL2	NZ_CAJQES010000007.1_54	NZ_CAJQES010000007.1	69884	72154	+	23	NZ_CAJQES010000007.1_54		GH3	
NZ_CAJQES010000007	PUL3	NZ_CAJQES010000007.1_71	NZ_CAJQES010000007.1	97256	100261	+	25102	NZ_CAJQES010000007.1_71	susC		
NZ_CAJQES010000007	PUL3	NZ_CAJQES010000007.1_72	NZ_CAJQES010000007.1	100288	101817	+	27	NZ_CAJQES010000007.1_72	susD		
