Organism,Scaffold,Start,End,Score,NZ_CP022413_487,NZ_CP022413_488,NZ_CP022413_489,NZ_CP022413_490,NZ_CP022413_491,NZ_CP022413_492,NZ_CP022413_493,NZ_CP022413_494,NZ_CP022413_495,NZ_CP022413_496,NZ_CP022413_497
LT674131,LT674131.1,1149,6872,8.2966,1,1,1,1,0,0,1,0,0,0,0
LT674132,LT674132.1,26432,30768,7.2178,1,1,1,1,0,0,0,0,0,0,0
NZ_BTHI01000008,NZ_BTHI01000008.1,54402,60495,6.2199,0,1,1,1,0,0,1,0,0,0,0
NZ_CP022413,NZ_CP022413.2,515672,529175,21.8415,1,1,1,1,1,1,1,1,1,1,1
NZ_CP084061,NZ_CP084061.1,2704757,2712112,10.4012,1,1,1,1,1,0,1,0,0,0,0
NZ_GG657685,NZ_GG657685.1,176154,182859,11.3724,0,1,1,1,1,1,1,0,0,0,0
