Organism,Scaffold,Start,End,Score,AM406671_1864,AM406671_1865,AM406671_1866,AM406671_1867,AM406671_1868,AM406671_1869,AM406671_1870
AE005176,AE005176.1,728129,731367,4.1259,1,0,0,0,0,1,1
AM406671,AM406671.1,1815994,1823564,13.4695,1,1,1,1,1,1,1
NC_009004,NC_009004.1,1815994,1823564,8.4131,1,1,1,1,0,1,1
