Organism,Scaffold,Start,End,Score,NC_010999_718,NC_010999_719,NC_010999_720,NC_010999_721
CP017063,CP017063.1,590958,595824,7.2508,1,1,1,1
CP044228,CP044228.1,814632,820568,7.2490,1,1,1,1
EU670680,EU670680.1,424,5007,7.2871,1,1,1,1
FM179324,FM179324.1,50298,54866,7.2849,1,1,1,1
NC_010999,NC_010999.1,723921,728489,7.2869,1,1,1,1
NC_013199,NC_013199.1,633375,638120,7.2508,1,1,1,1
