Organism,Scaffold,Start,End,Score,NZ_BTHI01000008_52,NZ_BTHI01000008_53,NZ_BTHI01000008_54,NZ_BTHI01000008_55,NZ_BTHI01000008_56,NZ_BTHI01000008_57,NZ_BTHI01000008_58,NZ_BTHI01000008_59,NZ_BTHI01000008_60,NZ_BTHI01000008_61,NZ_BTHI01000008_62,NZ_BTHI01000008_63
LT674131,LT674131.1,2536,5520,5.1537,0,0,0,0,0,1,1,1,0,0,0,0
NZ_BTHI01000008,NZ_BTHI01000008.1,50226,64778,20.8088,1,1,1,1,1,1,1,1,1,0,1,1
NZ_CP022413,NZ_CP022413.2,517010,523928,6.2212,0,0,0,1,0,1,1,1,0,0,0,0
NZ_CP084061,NZ_CP084061.1,2707678,2710764,5.1540,0,0,0,0,0,1,1,1,0,0,0,0
NZ_GG657685,NZ_GG657685.1,176154,178980,5.1480,0,0,0,0,0,1,1,1,0,0,0,0
