genome	pulid	protein_id	contig	start	end	strand	dist	protein_name	sus	hmm	active
CP000685	PUL1	CP000685.1_191	CP000685.1	189511	191325	-	0	CP000685.1_191	susD		
CP000685	PUL1	CP000685.1_192	CP000685.1	191343	194585	-	18	CP000685.1_192	susC		
CP000685	PUL2	CP000685.1_412	CP000685.1	413623	416874	+	219038	CP000685.1_412	susC		
CP000685	PUL2	CP000685.1_413	CP000685.1	416878	418344	+	4	CP000685.1_413	susD		
CP000685	PUL3	CP000685.1_682	CP000685.1	725346	728501	+	307002	CP000685.1_682	susC		
CP000685	PUL3	CP000685.1_683	CP000685.1	728488	730065	+	-13	CP000685.1_683	susD		
CP000685	PUL4	CP000685.1_793	CP000685.1	850019	852427	-	119954	CP000685.1_793		GH95	
CP000685	PUL4	CP000685.1_794	CP000685.1	852624	854555	-	197	CP000685.1_794		CE20	
CP000685	PUL4	CP000685.1_795	CP000685.1	854683	856191	-	128	CP000685.1_795		GH5_4	
CP000685	PUL4	CP000685.1_796	CP000685.1	856193	858430	-	2	CP000685.1_796		GH3	
CP000685	PUL4	CP000685.1_797	CP000685.1	858521	860092	-	91	CP000685.1_797		GH39	
CP000685	PUL4	CP000685.1_798	CP000685.1	860160	861980	-	68	CP000685.1_798		GH97	
CP000685	PUL4	CP000685.1_799	CP000685.1	861965	862171	-	-15	CP000685.1_799			
CP000685	PUL4	CP000685.1_800	CP000685.1	862418	864817	-	247	CP000685.1_800		GH31_3	
CP000685	PUL4	CP000685.1_801	CP000685.1	865012	867495	-	195	CP000685.1_801		GH2_1	
CP000685	PUL4	CP000685.1_802	CP000685.1	867579	868949	-	84	CP000685.1_802			
CP000685	PUL4	CP000685.1_803	CP000685.1	868972	870543	-	23	CP000685.1_803	susD		
CP000685	PUL4	CP000685.1_804	CP000685.1	870554	873685	-	11	CP000685.1_804	susC		
CP000685	PUL5	CP000685.1_1243	CP000685.1	1373643	1376759	-	499958	CP000685.1_1243		GH13_48;CBM26	
CP000685	PUL5	CP000685.1_1244	CP000685.1	1377083	1379230	-	324	CP000685.1_1244		GH97	
CP000685	PUL5	CP000685.1_1245	CP000685.1	1379312	1380694	-	82	CP000685.1_1245		GH13_48	
CP000685	PUL5	CP000685.1_1246	CP000685.1	1380800	1381882	-	106	CP000685.1_1246			
CP000685	PUL5	CP000685.1_1247	CP000685.1	1381896	1383404	-	14	CP000685.1_1247	susD		
CP000685	PUL5	CP000685.1_1248	CP000685.1	1383413	1386685	-	9	CP000685.1_1248	susC		
CP000685	PUL6	CP000685.1_1435	CP000685.1	1592291	1593952	-	205606	CP000685.1_1435		GH13_19	
CP000685	PUL6	CP000685.1_1436	CP000685.1	1594170	1596032	-	218	CP000685.1_1436		GH13_46	
CP000685	PUL6	CP000685.1_1437	CP000685.1	1596139	1598253	-	107	CP000685.1_1437		GH97	
CP000685	PUL6	CP000685.1_1438	CP000685.1	1598477	1600780	-	224	CP000685.1_1438		GH65	
CP000685	PUL6	CP000685.1_1439	CP000685.1	1600825	1601484	-	45	CP000685.1_1439			
CP000685	PUL6	CP000685.1_1440	CP000685.1	1601477	1602994	-	-7	CP000685.1_1440			
CP000685	PUL6	CP000685.1_1441	CP000685.1	1603168	1604199	-	174	CP000685.1_1441			
CP000685	PUL6	CP000685.1_1442	CP000685.1	1604435	1607416	+	236	CP000685.1_1442	susC		
CP000685	PUL6	CP000685.1_1443	CP000685.1	1607452	1609056	+	36	CP000685.1_1443	susD		
CP000685	PUL6	CP000685.1_1444	CP000685.1	1609076	1610176	+	20	CP000685.1_1444			
CP000685	PUL6	CP000685.1_1445	CP000685.1	1610261	1613134	+	85	CP000685.1_1445		GH13_47	
CP000685	PUL7	CP000685.1_1599	CP000685.1	1807610	1810759	+	194476	CP000685.1_1599	susC		
CP000685	PUL7	CP000685.1_1600	CP000685.1	1810778	1812313	+	19	CP000685.1_1600	susD		
CP000685	PUL7	CP000685.1_1601	CP000685.1	1812535	1813998	+	222	CP000685.1_1601		GH30_1	
CP000685	PUL7	CP000685.1_1602	CP000685.1	1814033	1815496	+	35	CP000685.1_1602		GH30_1	
CP000685	PUL7	CP000685.1_1603	CP000685.1	1815530	1817797	+	34	CP000685.1_1603		GH3	
CP000685	PUL7	CP000685.1_1604	CP000685.1	1817974	1818813	+	177	CP000685.1_1604			
CP000685	PUL7	CP000685.1_1605	CP000685.1	1818815	1820239	+	2	CP000685.1_1605		GH30_3	
CP000685	PUL7	CP000685.1_1606	CP000685.1	1820251	1822482	+	12	CP000685.1_1606		GH3	
CP000685	PUL8	CP000685.1_1970	CP000685.1	2222995	2226102	+	400513	CP000685.1_1970	susC		
CP000685	PUL8	CP000685.1_1971	CP000685.1	2226110	2227657	+	8	CP000685.1_1971	susD		
CP000685	PUL9	CP000685.1_2056	CP000685.1	2343196	2346792	+	115539	CP000685.1_2056	susC		
CP000685	PUL9	CP000685.1_2057	CP000685.1	2346810	2348213	+	18	CP000685.1_2057	susD		
CP000685	PUL10	CP000685.1_2069	CP000685.1	2365896	2368913	+	17683	CP000685.1_2069	susC		
CP000685	PUL10	CP000685.1_2070	CP000685.1	2368930	2370453	+	17	CP000685.1_2070	susD		
CP000685	PUL10	CP000685.1_2071	CP000685.1	2370733	2371905	+	280	CP000685.1_2071		GH5_13	
CP000685	PUL10	CP000685.1_2072	CP000685.1	2372184	2373212	+	279	CP000685.1_2072		GH43_18	
CP000685	PUL10	CP000685.1_2073	CP000685.1	2373411	2375222	+	199	CP000685.1_2073		GH2_18	
CP000685	PUL10	CP000685.1_2074	CP000685.1	2375455	2376477	+	233	CP000685.1_2074		GH43_26	
CP000685	PUL10	CP000685.1_2075	CP000685.1	2376502	2377680	+	25	CP000685.1_2075			
CP000685	PUL10	CP000685.1_2076	CP000685.1	2377877	2378854	+	197	CP000685.1_2076		GH43_31	
CP000685	PUL10	CP000685.1_2077	CP000685.1	2379024	2381138	+	170	CP000685.1_2077		CBM32;GH29	
CP000685	PUL10	CP000685.1_2078	CP000685.1	2381279	2383192	+	141	CP000685.1_2078			
CP000685	PUL10	CP000685.1_2079	CP000685.1	2383576	2384289	-	384	CP000685.1_2079			
CP000685	PUL10	CP000685.1_2080	CP000685.1	2384357	2385415	-	68	CP000685.1_2080			
CP000685	PUL10	CP000685.1_2081	CP000685.1	2385537	2387780	+	122	CP000685.1_2081		GH92	
CP000685	PUL10	CP000685.1_2082	CP000685.1	2387824	2389701	+	44	CP000685.1_2082			
CP000685	PUL10	CP000685.1_2083	CP000685.1	2389908	2390024	+	207	CP000685.1_2083			
CP000685	PUL10	CP000685.1_2084	CP000685.1	2390021	2390986	+	-3	CP000685.1_2084		GH130_2	
CP000685	PUL10	CP000685.1_2085	CP000685.1	2390994	2392064	+	8	CP000685.1_2085		CBM9	
CP000685	PUL10	CP000685.1_2086	CP000685.1	2392073	2393155	+	9	CP000685.1_2086			
CP000685	PUL10	CP000685.1_2087	CP000685.1	2393325	2394350	+	170	CP000685.1_2087			
CP000685	PUL10	CP000685.1_2088	CP000685.1	2394504	2397644	+	154	CP000685.1_2088		GH2_10	
CP000685	PUL10	CP000685.1_2089	CP000685.1	2397653	2399971	+	9	CP000685.1_2089		GH20	
CP000685	PUL10	CP000685.1_2090	CP000685.1	2400248	2401732	+	277	CP000685.1_2090		GH29	
CP000685	PUL10	CP000685.1_2091	CP000685.1	2401744	2403984	+	12	CP000685.1_2091		GH92	
CP000685	PUL10	CP000685.1_2092	CP000685.1	2403997	2406657	+	13	CP000685.1_2092		GH3	
CP000685	PUL10	CP000685.1_2093	CP000685.1	2406921	2410007	+	264	CP000685.1_2093	susC		
CP000685	PUL10	CP000685.1_2094	CP000685.1	2410025	2411623	+	18	CP000685.1_2094	susD		
CP000685	PUL10	CP000685.1_2095	CP000685.1	2411715	2412764	+	92	CP000685.1_2095		GH33	
CP000685	PUL11	CP000685.1_2132	CP000685.1	2460478	2463504	+	47714	CP000685.1_2132	susC		
CP000685	PUL11	CP000685.1_2133	CP000685.1	2463548	2465140	+	44	CP000685.1_2133	susD		
CP000685	PUL11	CP000685.1_2134	CP000685.1	2465322	2466416	+	182	CP000685.1_2134		GH10	
CP000685	PUL11	CP000685.1_2135	CP000685.1	2466528	2467427	+	112	CP000685.1_2135			
CP000685	PUL11	CP000685.1_2136	CP000685.1	2467503	2468918	+	76	CP000685.1_2136		GH50	
CP000685	PUL11	CP000685.1_2137	CP000685.1	2469121	2470923	+	203	CP000685.1_2137		GH2_4	
CP000685	PUL12	CP000685.1_2492	CP000685.1	2912487	2915522	+	441564	CP000685.1_2492	susC		
CP000685	PUL12	CP000685.1_2493	CP000685.1	2915534	2917033	+	12	CP000685.1_2493	susD		
CP000685	PUL12	CP000685.1_2494	CP000685.1	2917046	2918647	+	13	CP000685.1_2494		CBM102	
