genome	pulid	contigid	start	end	pattern
NZ_DS362248	PUL1	NZ_DS362248.1	1	4250	susD-susC
NZ_DS362248	PUL2	NZ_DS362248.1	13508	46981	GH43_33-GH2_2-unk-susC-susD-unk-GH5_4-GH97-GH2_10-GH42-GH2_10-GH29-GH31_4-GH43_16;CE20
NZ_DS362248	PUL3	NZ_DS362248.1	55431	78283	susC-susD-CBM32;GH43_28-GH144-GH3-susC-susD-GH3-unk-GH144-susC
NZ_DS362248	PUL4	NZ_DS362248.1	85092	93533	GH9-unk-susD-susC
NZ_DS362248	PUL5	NZ_DS362248.1	134716	144925	GH2_17-GH26-unk-susD-susC
NZ_DS362248	PUL6	NZ_DS362248.1	153098	169325	susC-susD-GH63-GH2_10-unk-unk-GH2_10-GH63
NZ_DS362248	PUL7	NZ_DS362248.1	199531	228592	CE1-unk-GH43_28;CBM32-CBM32;GH43_28-unk-GH3-unk-GH144-susD-susC-GH172-unk-unk-GH172-unk-CBM57;GH2_2-GH3
NZ_DS362248	PUL8	NZ_DS362248.1	274191	291699	susC-susD-unk-GH3-GH3-GH5_25-GH3-GH78;CBM67
NZ_DS362248	PUL9	NZ_DS362248.1	295767	300849	susC-susD
NZ_DS362248	PUL10	NZ_DS362248.1	332233	349576	GH13_36-GH172-GH92-susD-susC-unk-unk-unk-GH172
NZ_DS362248	PUL11	NZ_DS362248.1	438676	463666	GH9-unk-susD-susC-GH31_3-unk-GH9-unk-unk-GH9-CE20
