Organism,Scaffold,Start,End,Score,SIWZ01000001_3948,SIWZ01000001_3949,SIWZ01000001_3950,SIWZ01000001_3951,SIWZ01000001_3952,SIWZ01000001_3953
CP157216,CP157216.1,3099899,3106414,11.4077,1,1,1,1,1,1
CP195112,CP195112.1,3143085,3149600,11.4080,1,1,1,1,1,1
NC_000964,NC_000964.3,3095664,3102179,11.4077,1,1,1,1,1,1
NZ_CP034484,NZ_CP034484.1,3090893,3097408,11.4080,1,1,1,1,1,1
SIWZ01000001,SIWZ01000001.1,3978450,3984965,11.4117,1,1,1,1,1,1
