genome	pulid	protein_id	contig	start	end	strand	dist	protein_name	sus	hmm	active
NZ_ABJL02000007	PUL1	NZ_ABJL02000007.1_8	NZ_ABJL02000007.1	10985	13624	+	0	NZ_ABJL02000007.1_8		GH3	
NZ_ABJL02000007	PUL1	NZ_ABJL02000007.1_9	NZ_ABJL02000007.1	13674	14933	+	50	NZ_ABJL02000007.1_9		GH8	
NZ_ABJL02000007	PUL1	NZ_ABJL02000007.1_10	NZ_ABJL02000007.1	15064	17553	-	131	NZ_ABJL02000007.1_10		GH43_18	
NZ_ABJL02000007	PUL1	NZ_ABJL02000007.1_11	NZ_ABJL02000007.1	17832	18971	-	279	NZ_ABJL02000007.1_11		GH43	
NZ_ABJL02000007	PUL1	NZ_ABJL02000007.1_12	NZ_ABJL02000007.1	19001	20128	-	30	NZ_ABJL02000007.1_12		GH43_26	
NZ_ABJL02000007	PUL1	NZ_ABJL02000007.1_13	NZ_ABJL02000007.1	20162	21190	-	34	NZ_ABJL02000007.1_13			
NZ_ABJL02000007	PUL1	NZ_ABJL02000007.1_14	NZ_ABJL02000007.1	21205	23418	-	15	NZ_ABJL02000007.1_14		GH182	
NZ_ABJL02000007	PUL1	NZ_ABJL02000007.1_15	NZ_ABJL02000007.1	23509	24264	-	91	NZ_ABJL02000007.1_15			
NZ_ABJL02000007	PUL1	NZ_ABJL02000007.1_16	NZ_ABJL02000007.1	24289	26229	-	25	NZ_ABJL02000007.1_16	susD		
NZ_ABJL02000007	PUL1	NZ_ABJL02000007.1_17	NZ_ABJL02000007.1	26241	29495	-	12	NZ_ABJL02000007.1_17	susC		
NZ_ABJL02000007	PUL1	NZ_ABJL02000007.1_18	NZ_ABJL02000007.1	29669	32203	-	174	NZ_ABJL02000007.1_18		GH182	
NZ_ABJL02000007	PUL2	NZ_ABJL02000007.1_19	NZ_ABJL02000007.1	32828	33889	+	625	NZ_ABJL02000007.1_19		GH5_13	
NZ_ABJL02000007	PUL2	NZ_ABJL02000007.1_20	NZ_ABJL02000007.1	33979	35769	-	90	NZ_ABJL02000007.1_20			
NZ_ABJL02000007	PUL2	NZ_ABJL02000007.1_21	NZ_ABJL02000007.1	35766	39758	-	-3	NZ_ABJL02000007.1_21			
NZ_ABJL02000007	PUL2	NZ_ABJL02000007.1_22	NZ_ABJL02000007.1	40046	40462	+	288	NZ_ABJL02000007.1_22			
NZ_ABJL02000007	PUL2	NZ_ABJL02000007.1_23	NZ_ABJL02000007.1	40591	41118	+	129	NZ_ABJL02000007.1_23			
NZ_ABJL02000007	PUL2	NZ_ABJL02000007.1_24	NZ_ABJL02000007.1	41127	43994	+	9	NZ_ABJL02000007.1_24		GH43_26;GH2_19	
NZ_ABJL02000007	PUL2	NZ_ABJL02000007.1_25	NZ_ABJL02000007.1	44060	45580	+	66	NZ_ABJL02000007.1_25		CBM91;GH43_10	
NZ_ABJL02000007	PUL2	NZ_ABJL02000007.1_26	NZ_ABJL02000007.1	45599	46717	+	19	NZ_ABJL02000007.1_26			
NZ_ABJL02000007	PUL2	NZ_ABJL02000007.1_27	NZ_ABJL02000007.1	46837	47694	-	120	NZ_ABJL02000007.1_27			
NZ_ABJL02000007	PUL2	NZ_ABJL02000007.1_28	NZ_ABJL02000007.1	47914	49554	+	220	NZ_ABJL02000007.1_28		GH29	
NZ_ABJL02000007	PUL2	NZ_ABJL02000007.1_29	NZ_ABJL02000007.1	49675	52725	+	121	NZ_ABJL02000007.1_29	susC		
NZ_ABJL02000007	PUL2	NZ_ABJL02000007.1_30	NZ_ABJL02000007.1	52750	54435	+	25	NZ_ABJL02000007.1_30	susD		
NZ_ABJL02000007	PUL2	NZ_ABJL02000007.1_31	NZ_ABJL02000007.1	54537	54920	+	102	NZ_ABJL02000007.1_31			
NZ_ABJL02000007	PUL2	NZ_ABJL02000007.1_32	NZ_ABJL02000007.1	54994	56382	+	74	NZ_ABJL02000007.1_32		GH43_34	
NZ_ABJL02000007	PUL2	NZ_ABJL02000007.1_33	NZ_ABJL02000007.1	56395	57975	+	13	NZ_ABJL02000007.1_33		GH43_10;CBM91	
NZ_ABJL02000007	PUL2	NZ_ABJL02000007.1_34	NZ_ABJL02000007.1	58068	60896	+	93	NZ_ABJL02000007.1_34	susC		
NZ_ABJL02000007	PUL3	NZ_ABJL02000007.1_57	NZ_ABJL02000007.1	91315	94875	-	30419	NZ_ABJL02000007.1_57		CBM67;GH78	
NZ_ABJL02000007	PUL3	NZ_ABJL02000007.1_58	NZ_ABJL02000007.1	95018	96106	-	143	NZ_ABJL02000007.1_58			
NZ_ABJL02000007	PUL3	NZ_ABJL02000007.1_59	NZ_ABJL02000007.1	96303	98081	-	197	NZ_ABJL02000007.1_59	susD		
NZ_ABJL02000007	PUL3	NZ_ABJL02000007.1_60	NZ_ABJL02000007.1	98092	101154	-	11	NZ_ABJL02000007.1_60	susC		
NZ_ABJL02000007	PUL3	NZ_ABJL02000007.1_61	NZ_ABJL02000007.1	101220	103655	-	66	NZ_ABJL02000007.1_61		GH2_1	
NZ_ABJL02000007	PUL4	NZ_ABJL02000007.1_74	NZ_ABJL02000007.1	122984	126103	+	19329	NZ_ABJL02000007.1_74	susC		
NZ_ABJL02000007	PUL4	NZ_ABJL02000007.1_75	NZ_ABJL02000007.1	126124	127914	+	21	NZ_ABJL02000007.1_75	susD		
NZ_ABJL02000007	PUL5	NZ_ABJL02000007.1_112	NZ_ABJL02000007.1	167123	168286	+	39209	NZ_ABJL02000007.1_112		CE1	
