Organism,Scaffold,Start,End,Score,LT622246_3436,LT622246_3437,LT622246_3438,LT622246_3439,LT622246_3440,LT622246_3441,LT622246_3442,LT622246_3443,LT622246_3444,LT622246_3445,LT622246_3446,LT622246_3447,LT622246_3448
FP929033,FP929033.1,390803,404288,14.7424,0,0,0,0,1,1,1,1,1,1,0,1,1
LT622246,LT622246.1,4515459,4533366,24.1037,0,1,1,1,1,1,1,1,1,1,1,1,1
NZ_CP012938,NZ_CP012938.1,748516,766423,24.1032,0,1,1,1,1,1,1,1,1,1,1,1,1
NZ_CP113514,NZ_CP113514.1,2666681,2681341,19.8517,0,0,0,1,1,1,1,1,1,1,1,1,1
