Organism,Scaffold,Start,End,Score,JABKKE010000002_103,JABKKE010000002_104,JABKKE010000002_105,JABKKE010000002_106,JABKKE010000002_107,JABKKE010000002_108,JABKKE010000002_109,JABKKE010000002_110,JABKKE010000002_111
ABJL02000008,ABJL02000008.1,2594452,2599098,5.2285,0,0,0,0,0,0,1,1,1
AE015928,AE015928.1,5670388,5675014,5.2267,0,0,0,0,0,0,1,1,1
CP000139,CP000139.1,3542318,3546970,5.2316,0,0,0,0,0,0,1,1,1
CP012801,CP012801.1,5488611,5493278,5.2255,0,0,0,0,0,0,1,1,1
CP019300,CP019300.1,1613137,1617820,5.2390,0,0,0,0,0,0,1,1,1
CP065889,CP065889.1,3629442,3634099,5.2315,0,0,0,0,0,0,1,1,1
FP929033,FP929033.1,4292409,4297065,5.2283,0,0,0,0,0,0,1,1,1
JABKKE010000002,JABKKE010000002.1,129358,150740,15.1888,1,1,1,0,1,1,1,1,1
JH724241,JH724241.1,2614273,2618965,5.2303,0,0,0,0,0,0,1,1,1
LT622246,LT622246.1,3194003,3198695,5.2304,0,0,0,0,0,0,1,1,1
NC_014033,NC_014033.1,2004974,2009657,5.2702,0,0,0,0,0,0,1,1,1
NZ_CP046176,NZ_CP046176.1,2043562,2048214,5.2315,0,0,0,0,0,0,1,1,1
NZ_CP102288,NZ_CP102288.1,429475,434225,5.2628,0,0,0,0,0,0,1,1,1
NZ_CP113514,NZ_CP113514.1,1256187,1260869,5.2301,0,0,0,0,0,0,1,1,1
NZ_GL622542,NZ_GL622542.1,309867,314536,5.2320,0,0,0,0,0,0,1,1,1
