genome	pulid	protein_id	contig	start	end	strand	dist	protein_name	sus	hmm	active
HF548280	PUL1	HF548280.1_2	HF548280.1	1857	3647	-	0	HF548280.1_2	susD		
HF548280	PUL1	HF548280.1_3	HF548280.1	3672	6659	-	25	HF548280.1_3	susC		
HF548280	PUL2	HF548280.1_11	HF548280.1	18604	21807	+	11945	HF548280.1_11	susC		
HF548280	PUL2	HF548280.1_12	HF548280.1	21823	23499	+	16	HF548280.1_12	susD		
HF548280	PUL2	HF548280.1_13	HF548280.1	23521	24834	+	22	HF548280.1_13			
HF548280	PUL2	HF548280.1_14	HF548280.1	24831	27161	+	-3	HF548280.1_14		GH10	
HF548280	PUL2	HF548280.1_15	HF548280.1	27168	29690	+	7	HF548280.1_15		GH115	
HF548280	PUL2	HF548280.1_16	HF548280.1	29687	32212	+	-3	HF548280.1_16		GH11;CE20	
HF548280	PUL2	HF548280.1_17	HF548280.1	32227	33645	+	15	HF548280.1_17			
HF548280	PUL2	HF548280.1_18	HF548280.1	33650	34780	+	5	HF548280.1_18		GH10	
HF548280	PUL2	HF548280.1_19	HF548280.1	34788	35744	+	8	HF548280.1_19		GH43_1	
