genome	pulid	contigid	start	end	pattern
LT622246	PUL1	LT622246.1	48540	53799	susC-susD
LT622246	PUL2	LT622246.1	74069	91438	susC-susD-unk-unk-unk-GH20-GH78-unk-GH106
LT622246	PUL3	LT622246.1	104215	116697	GH50-GH50-GH2_2;CBM57-unk-susD-susC
LT622246	PUL4	LT622246.1	130495	141697	PL10_1-unk-unk-unk-susD-susC
LT622246	PUL5	LT622246.1	144081	148455	susC-susD
LT622246	PUL6	LT622246.1	158516	163456	susC-susD
LT622246	PUL7	LT622246.1	308676	314012	susD-susC
LT622246	PUL8	LT622246.1	351346	408654	GH43_1-GH10-unk-GH97-unk-GH115-unk-unk-CBM6;GH43_29-GH2_1-GH2_20-GH97-unk-GH146-GH31_4-GH2_1-GH31_4-GH29;CBM32-GH43_35-unk-unk-unk-GH43_9-GH27-PL9_2-GH10-unk-susD-susC
LT622246	PUL9	LT622246.1	426562	452400	GH2_1-unk-GH115-PL9_2-GH10-unk-susD-unk-susD-susC-unk-unk-GH177
LT622246	PUL10	LT622246.1	568357	577080	susC-susD-unk-GH27-CBM35
LT622246	PUL11	LT622246.1	658350	669365	susC-susD-unk-CE4;CE12-GH43_24-GH115
LT622246	PUL12	LT622246.1	807587	821460	GH89-unk-unk-unk-GH89-unk-susD-susC
LT622246	PUL13	LT622246.1	824485	848756	susC-susD-unk-unk-unk-CE1-CE1-unk-unk-unk-GH18-unk-susD-susC
LT622246	PUL14	LT622246.1	886757	898720	GH130_1-GH36-GH26-GH26-unk-susD-susC
LT622246	PUL15	LT622246.1	905956	929686	GH2_4-CE7-unk-unk-GH105-GH3-GH3-unk-unk-unk-susD-susC
LT622246	PUL16	LT622246.1	961875	1005643	GH182-GH105-GH2_17-GH130_3-GH2_17-unk-unk-unk-susD-susC-unk-GH43_3-unk-GH105-GH93-GH115-susD-susC-unk-unk-unk-unk-GH177-GH43_3
LT622246	PUL17	LT622246.1	1044953	1116403	GH172-GH5_2-susC-susD-unk-GH5_5-GH2_13-GH5_5-GH140-GH130_1-unk-CBM67;GH78-unk-unk-CE20-unk-unk-unk-unk-GH3-GH2_1-GH31_4-unk-GH9-unk-susD-susC-GH5_4-GH43_12;CBM91-CBM91;GH43_12-GH3-unk-GH30_4-GH43_34-unk-susD-susC-unk-unk-unk-GH18
LT622246	PUL18	LT622246.1	1139676	1190567	GH2_10-CE12-unk-unk-GH106-unk-unk-PL11_1-unk-susC-unk-unk-susD-susC-unk-GH2_2-GH88-GH154-unk-GH28-GH95-GH2_21-GH105-PL11_1
LT622246	PUL19	LT622246.1	1199078	1204260	susC-susD
LT622246	PUL20	LT622246.1	1220550	1229952	GH16_3-susC-susD-unk-GH3
LT622246	PUL21	LT622246.1	1230552	1245713	CE20-unk-unk-susD-susC-GH3-unk-GH36
LT622246	PUL22	LT622246.1	1272933	1283323	GH31-GH66-unk-susD-susC
LT622246	PUL23	LT622246.1	1290213	1315804	GH2_18-unk-GH43-unk-GH51_2-unk-unk-susD-susC-susD-susC-GH43_31
LT622246	PUL24	LT622246.1	1329115	1334132	susC-susD
LT622246	PUL25	LT622246.1	1367397	1372290	susC-susD
LT622246	PUL26	LT622246.1	1386175	1397977	CE20-susC-susD-PL35-PL35-GH88
LT622246	PUL27	LT622246.1	1421636	1430334	susD-susC-unk-unk-GH130_4
LT622246	PUL28	LT622246.1	1474103	1479059	susD-susC
LT622246	PUL29	LT622246.1	1486438	1497560	CE4-GT117-unk-unk-susC-susD
