Organism,Scaffold,Start,End,Score,CP137048_359,CP137048_360,CP137048_361,CP137048_362,CP137048_363,CP137048_364,CP137048_365,CP137048_366
AE014295,AE014295.3,1165270,1177370,15.6913,1,1,1,1,1,1,1,1
CP000303,CP000303.1,555378,567551,15.6688,1,1,1,1,1,1,1,1
CP001095,CP001095.1,507437,511773,4.1540,0,0,0,0,1,0,1,1
CP006712,CP006712.1,461636,473770,15.6692,1,1,1,1,1,1,1,1
CP016019,CP016019.1,479383,491483,15.6972,1,1,1,1,1,1,1,1
CP137763,CP137763.1,466090,478191,15.6990,1,1,1,1,1,1,1,1
NC_015067,NC_015067.1,444990,454595,6.2983,0,0,0,1,1,0,1,1
NZ_AP012330,NZ_AP012330.1,1897308,1900961,5.1785,1,1,1,0,0,0,0,0
NZ_AP022379,NZ_AP022379.1,451179,459402,6.2986,0,0,0,1,1,0,1,1
NZ_CP079235,NZ_CP079235.1,1951582,1955235,5.1786,1,1,1,0,0,0,0,0
NZ_PJEE01000001,NZ_PJEE01000001.1,419369,431274,12.5128,1,1,1,1,1,0,1,1
