Organism,Scaffold,Start,End,Score,CP000388_1961,CP000388_1962,CP000388_1963,CP000388_1964,CP000388_1965,CP000388_1966,CP000388_1967,CP000388_1968,CP000388_1969,CP000388_1970,CP000388_1971,CP000388_1972,CP000388_1973,CP000388_1974,CP000388_1975,CP000388_1976,CP000388_1977,CP000388_1978,CP000388_1979,CP000388_1980,CP000388_1981,CP000388_1982,CP000388_1983,CP000388_1984,CP000388_1985,CP000388_1986,CP000388_1987,CP000388_1988,CP000388_1989,CP000388_1990,CP000388_1991,CP000388_1992,CP000388_1993,CP000388_1994,CP000388_1995,CP000388_1996,CP000388_1997,CP000388_1998,CP000388_1999,CP000388_2000,CP000388_2001,CP000388_2002,CP000388_2003,CP000388_2004,CP000388_2005,CP000388_2006,CP000388_2007,CP000388_2008,CP000388_2009,CP000388_2010
CP000388,CP000388.1,2345054,2410403,90.5872,1,1,1,1,1,1,2,1,2,1,1,1,3,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
CP000388,CP000388.1,2233716,2238036,3.2054,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CP000388,CP000388.1,1013093,1016771,3.1656,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CP000388,CP000388.1,3332779,3337351,2.1615,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CP000388,CP000388.1,1670081,1672997,2.1430,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NC_008228,NC_008228.1,2345054,2410403,90.5684,1,1,1,1,1,1,2,1,2,0,1,1,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
NC_008228,NC_008228.1,2233716,2238036,3.2054,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NC_008228,NC_008228.1,1013093,1016771,3.1656,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NC_008228,NC_008228.1,3332779,3337351,2.1615,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NC_008228,NC_008228.1,1670081,1672997,2.1430,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
