genome	pulid	protein_id	contig	start	end	strand	dist	protein_name	sus	hmm	active
DS264583	PUL1	DS264583.1_14	DS264583.1	14682	16139	-	0	DS264583.1_14	susD		
DS264583	PUL1	DS264583.1_15	DS264583.1	16166	19543	-	27	DS264583.1_15	susC		
DS264583	PUL2	DS264583.1_40	DS264583.1	50529	51629	-	30986	DS264583.1_40	susC		
DS264583	PUL2	DS264583.1_41	DS264583.1	51863	52453	-	234	DS264583.1_41			
DS264583	PUL2	DS264583.1_42	DS264583.1	52474	53019	-	21	DS264583.1_42			
DS264583	PUL2	DS264583.1_43	DS264583.1	53211	55292	-	192	DS264583.1_43		GH3	
DS264583	PUL2	DS264583.1_44	DS264583.1	55355	56926	-	63	DS264583.1_44			
DS264583	PUL2	DS264583.1_45	DS264583.1	57046	57228	-	120	DS264583.1_45			
DS264583	PUL2	DS264583.1_46	DS264583.1	57225	58385	-	-3	DS264583.1_46		GH33	
DS264583	PUL2	DS264583.1_47	DS264583.1	58372	59826	-	-13	DS264583.1_47	susD		
DS264583	PUL2	DS264583.1_48	DS264583.1	59846	63136	-	20	DS264583.1_48	susC		
DS264583	PUL2	DS264583.1_49	DS264583.1	63173	64405	-	37	DS264583.1_49			
DS264583	PUL2	DS264583.1_50	DS264583.1	64412	66052	-	7	DS264583.1_50		GH33	
DS264583	PUL3	DS264583.1_106	DS264583.1	132772	134331	-	66720	DS264583.1_106	susD		
DS264583	PUL3	DS264583.1_107	DS264583.1	134340	137477	-	9	DS264583.1_107	susC		
DS264583	PUL4	DS264583.1_144	DS264583.1	183409	186756	+	45932	DS264583.1_144	susC		
DS264583	PUL4	DS264583.1_145	DS264583.1	186767	188104	+	11	DS264583.1_145	susD		
DS264583	PUL5	DS264583.1_201	DS264583.1	244892	246709	-	56788	DS264583.1_201		GH29	
DS264583	PUL5	DS264583.1_202	DS264583.1	246854	249940	-	145	DS264583.1_202		GH2_10	
DS264583	PUL5	DS264583.1_203	DS264583.1	250108	252432	-	168	DS264583.1_203		GH20	
DS264583	PUL5	DS264583.1_204	DS264583.1	252451	254034	-	19	DS264583.1_204			
DS264583	PUL5	DS264583.1_205	DS264583.1	254309	256123	-	275	DS264583.1_205	susD		
DS264583	PUL5	DS264583.1_206	DS264583.1	256146	259352	-	23	DS264583.1_206	susC		
DS264583	PUL6	DS264583.1_219	DS264583.1	275889	277316	-	16537	DS264583.1_219	susD		
DS264583	PUL6	DS264583.1_220	DS264583.1	277337	280876	-	21	DS264583.1_220	susC		
DS264583	PUL7	DS264583.1_226	DS264583.1	286501	288636	-	5625	DS264583.1_226		GH67	
DS264583	PUL7	DS264583.1_227	DS264583.1	288802	289779	-	166	DS264583.1_227		GH43_1	
DS264583	PUL7	DS264583.1_228	DS264583.1	289806	290936	-	27	DS264583.1_228		GH10	
DS264583	PUL7	DS264583.1_229	DS264583.1	290976	292391	-	40	DS264583.1_229			
DS264583	PUL7	DS264583.1_230	DS264583.1	292408	294066	-	17	DS264583.1_230		CE20	
DS264583	PUL7	DS264583.1_231	DS264583.1	294399	296621	-	333	DS264583.1_231		GH10	
DS264583	PUL7	DS264583.1_232	DS264583.1	296646	298049	-	25	DS264583.1_232			
DS264583	PUL7	DS264583.1_233	DS264583.1	298064	299710	-	15	DS264583.1_233	susD		
DS264583	PUL7	DS264583.1_234	DS264583.1	299730	302903	-	20	DS264583.1_234	susC		
DS264583	PUL7	DS264583.1_235	DS264583.1	303299	307432	+	396	DS264583.1_235			
DS264583	PUL7	DS264583.1_236	DS264583.1	307513	309513	-	81	DS264583.1_236		GH13_14	
DS264583	PUL8	DS264583.1_266	DS264583.1	341025	343049	-	31512	DS264583.1_266	susD		
DS264583	PUL8	DS264583.1_267	DS264583.1	343074	346313	-	25	DS264583.1_267	susC		
DS264583	PUL9	DS264583.1_304	DS264583.1	392482	394842	-	46169	DS264583.1_304		GH141	
DS264583	PUL9	DS264583.1_305	DS264583.1	394947	395093	+	105	DS264583.1_305			
DS264583	PUL9	DS264583.1_306	DS264583.1	395078	397204	-	-15	DS264583.1_306		PL12_2	
DS264583	PUL9	DS264583.1_307	DS264583.1	397221	398909	-	17	DS264583.1_307	susD		
DS264583	PUL9	DS264583.1_308	DS264583.1	398922	401903	-	13	DS264583.1_308	susC		
DS264583	PUL9	DS264583.1_309	DS264583.1	401928	403700	-	25	DS264583.1_309	susD		
DS264583	PUL9	DS264583.1_310	DS264583.1	403711	406953	-	11	DS264583.1_310	susC		
DS264583	PUL9	DS264583.1_311	DS264583.1	406991	408409	-	38	DS264583.1_311		GH29	
DS264583	PUL9	DS264583.1_312	DS264583.1	408569	412657	-	160	DS264583.1_312			
DS264583	PUL9	DS264583.1_313	DS264583.1	412787	413986	-	130	DS264583.1_313		GH88	
DS264583	PUL10	DS264583.1_328	DS264583.1	433397	435244	-	19411	DS264583.1_328		GH32	
DS264583	PUL10	DS264583.1_329	DS264583.1	435370	437322	-	126	DS264583.1_329		GH91	
DS264583	PUL10	DS264583.1_330	DS264583.1	437360	438487	-	38	DS264583.1_330		GH91	
DS264583	PUL10	DS264583.1_331	DS264583.1	438513	440270	-	26	DS264583.1_331	susD		
DS264583	PUL10	DS264583.1_332	DS264583.1	440295	443366	-	25	DS264583.1_332	susC		
DS264583	PUL10	DS264583.1_333	DS264583.1	443655	444527	+	289	DS264583.1_333			
DS264583	PUL10	DS264583.1_334	DS264583.1	444698	446560	-	171	DS264583.1_334		GH32	
