Organism,Scaffold,Start,End,Score,EQ973490_897,EQ973490_898,EQ973490_899,EQ973490_900,EQ973490_901,EQ973490_902,EQ973490_903,EQ973490_904,EQ973490_905,EQ973490_906,EQ973490_907,EQ973490_908
CP012801,CP012801.1,3674189,3695070,16.1697,1,1,1,1,0,0,1,1,1,1,1,1
EQ973490,EQ973490.1,1329074,1352423,24.3595,1,1,1,1,1,1,1,1,1,1,1,1
NZ_ABJL02000007,NZ_ABJL02000007.1,180431,189673,7.5920,1,1,1,1,0,0,0,0,0,0,0,0
NZ_ABJL02000007,NZ_ABJL02000007.1,167128,170469,5.2223,0,0,0,0,0,0,0,0,0,1,1,1
NZ_DS995511,NZ_DS995511.1,704514,707854,5.2002,0,0,0,0,0,0,0,0,0,1,1,1
NZ_EQ973490,NZ_EQ973490.1,1329074,1352417,21.3382,1,1,1,1,1,1,1,0,1,1,1,1
NZ_JH992941,NZ_JH992941.1,1220564,1233618,12.7550,1,1,1,1,0,0,0,0,0,1,1,1
