Organism,Scaffold,Start,End,Score,NC_016610_1962,NC_016610_1963,NC_016610_1964,NC_016610_1965,NC_016610_1966,NC_016610_1967,NC_016610_1968,NC_016610_1969,NC_016610_1970,NC_016610_1971
AP006841,AP006841.1,1978556,1981936,5.1758,0,1,1,1,0,0,0,0,0,0
CP000139,CP000139.1,5064220,5067598,5.1740,0,1,1,1,0,0,0,0,0,0
CR626927,CR626927.1,1995683,1999063,5.1756,0,1,1,1,0,0,0,0,0,0
FQ312004,FQ312004.1,2001116,2004496,5.1758,0,1,1,1,0,0,0,0,0,0
JUET01000139,JUET01000139.1,87386,94318,7.4641,0,0,0,0,0,0,1,1,1,1
JUET01000139,JUET01000139.1,99413,102782,5.2252,0,1,1,1,0,0,0,0,0,0
NC_003228,NC_003228.3,1995683,1999063,5.1756,0,1,1,1,0,0,0,0,0,0
NC_006347,NC_006347.1,1978556,1981936,5.1758,0,1,1,1,0,0,0,0,0,0
NC_009614,NC_009614.1,5064220,5067598,5.1740,0,1,1,1,0,0,0,0,0,0
NC_016610,NC_016610.1,2354088,2369434,18.0276,0,1,1,1,1,1,1,1,1,1
NC_016776,NC_016776.1,2001116,2004496,5.1758,0,1,1,1,0,0,0,0,0,0
NZ_CP046176,NZ_CP046176.1,3677314,3680692,5.1741,0,1,1,1,0,0,0,0,0,0
NZ_DS995531,NZ_DS995531.1,485533,488911,5.1741,0,1,1,1,0,0,0,0,0,0
