genome	pulid	contigid	start	end	pattern
DS264579	PUL1	DS264579.1	3336	74784	GH172-GH5_2-susC-susD-unk-GH5_5-GH2_13-GH5_5-GH140-GH130_1-unk-CBM67;GH78-unk-CE20-unk-unk-unk-unk-GH3-GH2_1-GH31_4-unk-GH9-unk-susD-susC-GH5_4-GH43_12;CBM91-CBM91;GH43_12-GH3-unk-GH30_4-GH43_34-unk-susD-susC-unk-GH18
DS264579	PUL2	DS264579.1	98061	148949	GH2_10-CE12-unk-unk-GH106-unk-unk-PL11_1-unk-susC-unk-unk-susD-susC-unk-GH2_2-GH88-GH154-unk-GH28-GH95-GH2_21-GH105-PL11_1
DS264579	PUL3	DS264579.1	157460	162642	susC-susD
DS264579	PUL4	DS264579.1	178929	188331	GH16_3-susC-susD-unk-GH3
DS264579	PUL5	DS264579.1	188931	204092	CE20-unk-unk-susD-susC-GH3-unk-GH36
DS264579	PUL6	DS264579.1	231313	241703	GH31-GH66-unk-susD-susC
DS264579	PUL7	DS264579.1	248593	274184	GH2_18-unk-GH43-unk-GH51_2-unk-unk-susD-susC-susD-susC-GH43_31
DS264579	PUL8	DS264579.1	287495	292512	susC-susD
DS264579	PUL9	DS264579.1	325779	330672	susC-susD
DS264579	PUL10	DS264579.1	344557	356359	CE20-susC-susD-PL35-PL35-GH88
DS264579	PUL11	DS264579.1	380018	388716	susD-susC-unk-unk-GH130_4
