Organism,Scaffold,Start,End,Score,AP028031_2129,AP028031_2130,AP028031_2131,AP028031_2132,AP028031_2133,AP028031_2134,AP028031_2135,AP028031_2136,AP028031_2137,AP028031_2138
AP028031,AP028031.1,2251544,2263103,19.7179,1,1,1,1,1,1,1,1,1,1
CP007016,CP007016.1,1834380,1836938,5.1049,0,0,1,1,1,0,0,0,0,0
NC_004350,NC_004350.2,1835672,1838230,5.1049,0,0,1,1,1,0,0,0,0,0
NZ_KB290658,NZ_KB290658.1,52147,63706,19.7179,1,1,1,1,1,1,1,1,1,1
