sequence_id	length
NZ_AAXF02000026	29967
LT796703	24131
LR131283	37246
LT674129	37308
AB011415	14852
CP012801	7084828
EU599184	9400
NC_003212	3011208
CP001515	1938709
JABKKG010000005	319247
EU599185	17600
AE014295	2256640
NC_009441	6096872
NZ_AAXF02000049	428982
LR136958	4731105
NZ_KB290636	95857
LR131277	34121
NC_008618	2089645
JABKKE010000016	91913
NZ_DS990119	571288
AM886293	168113
AB063629	8167
NC_013192	2465610
LT674127	35824
AP009044	3314179
NZ_DS264584	1147684
NZ_AP012330	2313752
BA000043	3544776
AP012281	2421471
NC_016776	5373121
D83026	65143
JABKKG010000003	491845
OZ022674	22594
GL891979	1016930
LT629745	3545181
CP002835	3893306
NZ_CAWLDM010000001	7962739
JABKKE010000002	253660
LR131279	41855
NZ_PJEE01000001	454785
NC_021020	3214418
NZ_AAXF02000036	85867
NZ_LSNE01000005	925268
NZ_LR027880	4493348
JPOL01000002	3672893
NC_008261	3256683
LT674131	35820
RHLG01000001	984888
AAXF02000034	67448
LR131276	37470
NZ_PJDX01000003	210964
AF441242	5900
NZ_DS995531	832081
CAWLDL010000001	9109604
CP000388	5187005
KF840174	14067
NC_003919	5175554
CP000139	5163189
LR131286	34305
NC_013199	2968598
LT674125	38900
NZ_ACFY01000084	110525
NZ_BTHI01000008	135822
BA000032	1877212
DS264584	1147684
NC_010572	8545929
AAXF02000053	555155
FQ312004	5373121
NC_012781	3449685
Ga0139390_150	
HF548278	41175
NC_011898	4068724
NZ_AAXF02000045	201844
NZ_CP022413	3065949
AAZZ01000003	199671
NZ_CP009976	4635105
NC_004368	2211485
AB034969	8400
NZ_DS990123	147256
KC246824	27980
AM039952	5178466
NZ_DS264579	428982
NZ_EQ973490	2178212
AAXF02000054	1147684
CP002534	3765936
NZ_KB905472	3116102
NZ_CAJQES010000007	132542
NZ_JH992941	1624090
CP002160	5262222
NZ_PJAI02000005	230662
NZ_AAXF02000043	141798
LR131275	27897
ABJL02000008	3472993
NZ_GL892007	404348
NZ_JQNQ01000001	4212161
NC_015167	3765936
NZ_AAXF02000047	267235
LT674126	32370
NC_013515	1662578
NZ_AAXF02000029	59901
AF316823	11489
HF548280	36811
JN903693	31148
JX424628	32307
NZ_KE386494	1071729
NZ_MYFP02000002	326526
NC_016610	3405521
GL882630	137728
NZ_KB890760	148935
JX424622	49907
AP006878	2088737
JABUUE010000008	104757
L18965	6760
NC_008255	4433218
AY870655	3050
AE007870	2075577
NZ_MYFN02000025	33819
JABKKE010000013	101960
NZ_MWQX02000053	12562
NZ_JH815204	979427
AE008922	5076188
CP000303	2422684
NZ_PJDO01000018	117618
NZ_BLYL01000009	141654
AE005672	2160842
CP001736	7579488
CP002113	2571406
AY526725	6510
CP000449	3368780
U07818	5026
JAPFGC010000002	3065842
NC_003030	3940880
AOMX01000002	2315828
NC_012914	7184930
EU024644	15276
AF228498	11526
NZ_CP090616	241480
X78853	3536
AF417111	3969
NZ_DS990130	760260
NZ_GL882612	28032
JABKKF010000001	586828
NZ_PJEG01000006	36295
NZ_AAXF02000044	155910
CP014225	4659625
NZ_GG697150	556161
LT674132	30877
AL645882	8667507
LT674123	35883
CP019300	1965935
NZ_AAXF02000039	121138
NZ_AAXF02000046	243546
SIWZ01000001	4063450
NZ_KB898707	774481
NC_017943	321908
NZ_ABQJ01000017	45052
AP006841	5277274
FM179324	64508
HE717008	14714
KM624528	3311
NZ_CP028092	5256878
NZ_CP098511	4431522
Z25795	8517
LT674130	29180
ADOP01000016	90307
LR131284	44544
NC_015846	2571406
ACXX02000007	237393
AF132735	14184
NZ_AAXF02000024	20168
MSTC01000081	6260
LR131280	31202
NZ_JDUC01000011	83068
NC_014934	4888353
U61727	3850
JABKKF010000013	76661
NZ_JPOL01000002	3672893
NC_007946	5065741
NZ_VISB01000001	4347041
EU670680	12009
NZ_CP020030	3640707
CABDWQ010000001	4672348
HE717017	39093
NZ_CP046176	5625488
MSTB01000008	68569
NC_007912	5057531
NZ_CAWH010000143	54473
NC_016023	3552226
NC_015067	2385164
NC_003228	5205140
NZ_ABJL02000007	1438659
