genome	pulid	protein_id	contig	start	end	strand	dist	protein_name	sus	hmm	active
NZ_CP009976	PUL1	NZ_CP009976.1_33	NZ_CP009976.1	52807	54366	-	0	NZ_CP009976.1_33	susD		
NZ_CP009976	PUL1	NZ_CP009976.1_34	NZ_CP009976.1	54383	57439	-	17	NZ_CP009976.1_34	susC		
NZ_CP009976	PUL2	NZ_CP009976.1_43	NZ_CP009976.1	65225	65992	-	7786	NZ_CP009976.1_43		GH16_3	
NZ_CP009976	PUL2	NZ_CP009976.1_44	NZ_CP009976.1	66000	68264	-	8	NZ_CP009976.1_44		GH3	
NZ_CP009976	PUL2	NZ_CP009976.1_45	NZ_CP009976.1	68361	70010	-	97	NZ_CP009976.1_45		CBM103;GH16_3	
NZ_CP009976	PUL2	NZ_CP009976.1_46	NZ_CP009976.1	70029	71627	-	19	NZ_CP009976.1_46			
NZ_CP009976	PUL2	NZ_CP009976.1_47	NZ_CP009976.1	71646	73124	-	19	NZ_CP009976.1_47	susD		
NZ_CP009976	PUL2	NZ_CP009976.1_48	NZ_CP009976.1	73129	76176	-	5	NZ_CP009976.1_48	susC		
NZ_CP009976	PUL3	NZ_CP009976.1_212	NZ_CP009976.1	262256	265567	+	186080	NZ_CP009976.1_212	susC		
NZ_CP009976	PUL3	NZ_CP009976.1_213	NZ_CP009976.1	265578	267029	+	11	NZ_CP009976.1_213	susD		
NZ_CP009976	PUL4	NZ_CP009976.1_228	NZ_CP009976.1	283717	284034	+	16688	NZ_CP009976.1_228		AA18	
NZ_CP009976	PUL4	NZ_CP009976.1_229	NZ_CP009976.1	284079	284864	+	45	NZ_CP009976.1_229			
NZ_CP009976	PUL4	NZ_CP009976.1_230	NZ_CP009976.1	284995	291057	+	131	NZ_CP009976.1_230			
NZ_CP009976	PUL4	NZ_CP009976.1_231	NZ_CP009976.1	291187	291915	+	130	NZ_CP009976.1_231	susC		
NZ_CP009976	PUL4	NZ_CP009976.1_232	NZ_CP009976.1	291915	292928	+	0	NZ_CP009976.1_232			
NZ_CP009976	PUL4	NZ_CP009976.1_233	NZ_CP009976.1	293007	294452	-	79	NZ_CP009976.1_233	susD		
NZ_CP009976	PUL4	NZ_CP009976.1_234	NZ_CP009976.1	294465	297563	-	13	NZ_CP009976.1_234	susC		
NZ_CP009976	PUL5	NZ_CP009976.1_354	NZ_CP009976.1	418180	419658	-	120617	NZ_CP009976.1_354	susD		
NZ_CP009976	PUL5	NZ_CP009976.1_355	NZ_CP009976.1	419669	423283	-	11	NZ_CP009976.1_355	susC		
NZ_CP009976	PUL6	NZ_CP009976.1_362	NZ_CP009976.1	437118	438626	-	13835	NZ_CP009976.1_362	susD		
NZ_CP009976	PUL6	NZ_CP009976.1_363	NZ_CP009976.1	438641	441904	-	15	NZ_CP009976.1_363	susC		
NZ_CP009976	PUL7	NZ_CP009976.1_364	NZ_CP009976.1	442506	444158	-	602	NZ_CP009976.1_364	susD		
NZ_CP009976	PUL7	NZ_CP009976.1_365	NZ_CP009976.1	444180	447305	-	22	NZ_CP009976.1_365	susC		
NZ_CP009976	PUL8	NZ_CP009976.1_430	NZ_CP009976.1	518663	519802	+	71358	NZ_CP009976.1_430		GH10	
NZ_CP009976	PUL8	NZ_CP009976.1_431	NZ_CP009976.1	519844	521265	+	42	NZ_CP009976.1_431			
NZ_CP009976	PUL8	NZ_CP009976.1_432	NZ_CP009976.1	521273	522310	+	8	NZ_CP009976.1_432		GH43_1	
NZ_CP009976	PUL8	NZ_CP009976.1_433	NZ_CP009976.1	522307	523299	-	-3	NZ_CP009976.1_433		GH16_3	
NZ_CP009976	PUL8	NZ_CP009976.1_434	NZ_CP009976.1	523341	524702	-	42	NZ_CP009976.1_434		GH10	
NZ_CP009976	PUL8	NZ_CP009976.1_435	NZ_CP009976.1	524726	525997	-	24	NZ_CP009976.1_435			
NZ_CP009976	PUL8	NZ_CP009976.1_436	NZ_CP009976.1	526231	529530	-	234	NZ_CP009976.1_436			
NZ_CP009976	PUL8	NZ_CP009976.1_437	NZ_CP009976.1	529629	531116	-	99	NZ_CP009976.1_437	susD		
NZ_CP009976	PUL8	NZ_CP009976.1_438	NZ_CP009976.1	531131	534127	-	15	NZ_CP009976.1_438	susC		
NZ_CP009976	PUL9	NZ_CP009976.1_502	NZ_CP009976.1	614792	617917	+	80665	NZ_CP009976.1_502	susC		
NZ_CP009976	PUL9	NZ_CP009976.1_503	NZ_CP009976.1	617921	619621	+	4	NZ_CP009976.1_503	susD		
NZ_CP009976	PUL9	NZ_CP009976.1_504	NZ_CP009976.1	619661	621268	+	40	NZ_CP009976.1_504			
NZ_CP009976	PUL9	NZ_CP009976.1_505	NZ_CP009976.1	621617	624940	+	349	NZ_CP009976.1_505			
NZ_CP009976	PUL9	NZ_CP009976.1_506	NZ_CP009976.1	625075	626643	-	135	NZ_CP009976.1_506		GH32	
NZ_CP009976	PUL10	NZ_CP009976.1_550	NZ_CP009976.1	673498	675369	-	46855	NZ_CP009976.1_550		GH13_38	
NZ_CP009976	PUL10	NZ_CP009976.1_551	NZ_CP009976.1	675379	677691	-	10	NZ_CP009976.1_551		GH65	
NZ_CP009976	PUL10	NZ_CP009976.1_552	NZ_CP009976.1	677757	678419	-	66	NZ_CP009976.1_552			
NZ_CP009976	PUL10	NZ_CP009976.1_553	NZ_CP009976.1	678439	679467	-	20	NZ_CP009976.1_553			
NZ_CP009976	PUL10	NZ_CP009976.1_554	NZ_CP009976.1	679815	682934	+	348	NZ_CP009976.1_554	susC		
NZ_CP009976	PUL10	NZ_CP009976.1_555	NZ_CP009976.1	682944	684533	+	10	NZ_CP009976.1_555	susD		
NZ_CP009976	PUL11	NZ_CP009976.1_832	NZ_CP009976.1	1007666	1010941	+	323133	NZ_CP009976.1_832	susC		
NZ_CP009976	PUL11	NZ_CP009976.1_833	NZ_CP009976.1	1010948	1012717	+	7	NZ_CP009976.1_833	susD		
NZ_CP009976	PUL11	NZ_CP009976.1_834	NZ_CP009976.1	1012838	1013980	-	121	NZ_CP009976.1_834			
NZ_CP009976	PUL11	NZ_CP009976.1_835	NZ_CP009976.1	1013996	1014616	+	16	NZ_CP009976.1_835			
NZ_CP009976	PUL11	NZ_CP009976.1_836	NZ_CP009976.1	1014665	1015573	+	49	NZ_CP009976.1_836			
NZ_CP009976	PUL11	NZ_CP009976.1_837	NZ_CP009976.1	1015566	1018082	+	-7	NZ_CP009976.1_837	susC		
NZ_CP009976	PUL12	NZ_CP009976.1_941	NZ_CP009976.1	1127362	1128765	-	109280	NZ_CP009976.1_941	susD		
NZ_CP009976	PUL12	NZ_CP009976.1_942	NZ_CP009976.1	1128778	1132119	-	13	NZ_CP009976.1_942	susC		
