genome	pulid	protein_id	contig	start	end	strand	dist	protein_name	sus	hmm	active
NZ_JQNJ01000001	PUL1	NZ_JQNJ01000001.1_66	NZ_JQNJ01000001.1	61074	62510	-	0	NZ_JQNJ01000001.1_66	susD		
NZ_JQNJ01000001	PUL1	NZ_JQNJ01000001.1_67	NZ_JQNJ01000001.1	62526	65537	-	16	NZ_JQNJ01000001.1_67	susC		
NZ_JQNJ01000001	PUL2	NZ_JQNJ01000001.1_353	NZ_JQNJ01000001.1	359115	360221	-	293578	NZ_JQNJ01000001.1_353		CE1	
NZ_JQNJ01000001	PUL2	NZ_JQNJ01000001.1_354	NZ_JQNJ01000001.1	360281	361735	-	60	NZ_JQNJ01000001.1_354			
NZ_JQNJ01000001	PUL2	NZ_JQNJ01000001.1_355	NZ_JQNJ01000001.1	361920	363347	-	185	NZ_JQNJ01000001.1_355	susD		
NZ_JQNJ01000001	PUL2	NZ_JQNJ01000001.1_356	NZ_JQNJ01000001.1	363374	366844	-	27	NZ_JQNJ01000001.1_356	susC		
NZ_JQNJ01000001	PUL2	NZ_JQNJ01000001.1_357	NZ_JQNJ01000001.1	366874	367950	-	30	NZ_JQNJ01000001.1_357			
NZ_JQNJ01000001	PUL2	NZ_JQNJ01000001.1_358	NZ_JQNJ01000001.1	368041	368721	-	91	NZ_JQNJ01000001.1_358			
NZ_JQNJ01000001	PUL2	NZ_JQNJ01000001.1_359	NZ_JQNJ01000001.1	368934	370670	+	213	NZ_JQNJ01000001.1_359			
NZ_JQNJ01000001	PUL2	NZ_JQNJ01000001.1_360	NZ_JQNJ01000001.1	370705	371592	+	35	NZ_JQNJ01000001.1_360			
NZ_JQNJ01000001	PUL2	NZ_JQNJ01000001.1_361	NZ_JQNJ01000001.1	371603	372484	+	11	NZ_JQNJ01000001.1_361		CE1	
NZ_JQNJ01000001	PUL3	NZ_JQNJ01000001.1_371	NZ_JQNJ01000001.1	379301	382723	+	6817	NZ_JQNJ01000001.1_371	susC		
NZ_JQNJ01000001	PUL3	NZ_JQNJ01000001.1_372	NZ_JQNJ01000001.1	382740	384161	+	17	NZ_JQNJ01000001.1_372	susD		
NZ_JQNJ01000001	PUL3	NZ_JQNJ01000001.1_373	NZ_JQNJ01000001.1	384462	384644	-	301	NZ_JQNJ01000001.1_373			
NZ_JQNJ01000001	PUL3	NZ_JQNJ01000001.1_374	NZ_JQNJ01000001.1	384867	385163	+	223	NZ_JQNJ01000001.1_374			
NZ_JQNJ01000001	PUL3	NZ_JQNJ01000001.1_375	NZ_JQNJ01000001.1	385247	386092	-	84	NZ_JQNJ01000001.1_375		GH3	
NZ_JQNJ01000001	PUL4	NZ_JQNJ01000001.1_464	NZ_JQNJ01000001.1	490145	491362	+	104053	NZ_JQNJ01000001.1_464		GH26	
NZ_JQNJ01000001	PUL4	NZ_JQNJ01000001.1_465	NZ_JQNJ01000001.1	491502	492494	-	140	NZ_JQNJ01000001.1_465			
NZ_JQNJ01000001	PUL4	NZ_JQNJ01000001.1_466	NZ_JQNJ01000001.1	492498	493619	-	4	NZ_JQNJ01000001.1_466		CE2	
NZ_JQNJ01000001	PUL4	NZ_JQNJ01000001.1_467	NZ_JQNJ01000001.1	493616	494503	-	-3	NZ_JQNJ01000001.1_467			
NZ_JQNJ01000001	PUL4	NZ_JQNJ01000001.1_468	NZ_JQNJ01000001.1	494565	495926	-	62	NZ_JQNJ01000001.1_468			
NZ_JQNJ01000001	PUL4	NZ_JQNJ01000001.1_469	NZ_JQNJ01000001.1	496107	498554	+	181	NZ_JQNJ01000001.1_469		GH9	
NZ_JQNJ01000001	PUL4	NZ_JQNJ01000001.1_470	NZ_JQNJ01000001.1	498573	499574	+	19	NZ_JQNJ01000001.1_470		GH26	
NZ_JQNJ01000001	PUL4	NZ_JQNJ01000001.1_471	NZ_JQNJ01000001.1	499546	501510	+	-28	NZ_JQNJ01000001.1_471			
NZ_JQNJ01000001	PUL4	NZ_JQNJ01000001.1_472	NZ_JQNJ01000001.1	501614	502804	-	104	NZ_JQNJ01000001.1_472		GH130_1	
NZ_JQNJ01000001	PUL4	NZ_JQNJ01000001.1_473	NZ_JQNJ01000001.1	502841	504001	-	37	NZ_JQNJ01000001.1_473		GH26	
NZ_JQNJ01000001	PUL4	NZ_JQNJ01000001.1_474	NZ_JQNJ01000001.1	504182	507481	-	181	NZ_JQNJ01000001.1_474			
NZ_JQNJ01000001	PUL4	NZ_JQNJ01000001.1_475	NZ_JQNJ01000001.1	507574	509133	-	93	NZ_JQNJ01000001.1_475	susD		
NZ_JQNJ01000001	PUL4	NZ_JQNJ01000001.1_476	NZ_JQNJ01000001.1	509148	512351	-	15	NZ_JQNJ01000001.1_476	susC		
NZ_JQNJ01000001	PUL5	NZ_JQNJ01000001.1_480	NZ_JQNJ01000001.1	520104	523325	+	7753	NZ_JQNJ01000001.1_480	susC		
NZ_JQNJ01000001	PUL5	NZ_JQNJ01000001.1_481	NZ_JQNJ01000001.1	523350	525023	+	25	NZ_JQNJ01000001.1_481	susD		
NZ_JQNJ01000001	PUL5	NZ_JQNJ01000001.1_482	NZ_JQNJ01000001.1	525188	526591	+	165	NZ_JQNJ01000001.1_482		GH109	
NZ_JQNJ01000001	PUL6	NZ_JQNJ01000001.1_512	NZ_JQNJ01000001.1	565224	566642	-	38633	NZ_JQNJ01000001.1_512	susD		
NZ_JQNJ01000001	PUL6	NZ_JQNJ01000001.1_513	NZ_JQNJ01000001.1	566660	569911	-	18	NZ_JQNJ01000001.1_513	susC		
NZ_JQNJ01000001	PUL7	NZ_JQNJ01000001.1_532	NZ_JQNJ01000001.1	599355	600953	-	29444	NZ_JQNJ01000001.1_532	susD		
NZ_JQNJ01000001	PUL7	NZ_JQNJ01000001.1_533	NZ_JQNJ01000001.1	600966	603962	-	13	NZ_JQNJ01000001.1_533	susC		
NZ_JQNJ01000001	PUL7	NZ_JQNJ01000001.1_534	NZ_JQNJ01000001.1	604397	606388	-	435	NZ_JQNJ01000001.1_534			
NZ_JQNJ01000001	PUL7	NZ_JQNJ01000001.1_535	NZ_JQNJ01000001.1	606428	606877	-	40	NZ_JQNJ01000001.1_535			
