Organism,Scaffold,Start,End,Score,CP000303_578,CP000303_579,CP000303_580,CP000303_581,CP000303_582
AE014295,AE014295.3,1015666,1027327,9.4013,1,1,1,1,1
CP000303,CP000303.1,707813,714874,9.4244,1,1,1,1,1
CP001515,CP001515.1,574339,580026,4.1750,0,1,1,0,1
CP006712,CP006712.1,612503,619564,9.4228,1,1,1,1,1
CP090790,CP090790.1,574269,581337,9.4133,1,1,1,1,1
NC_004307,NC_004307.2,1015666,1027327,9.4000,1,1,1,1,1
NC_015067,NC_015067.1,567931,579571,9.3991,1,1,1,1,1
NC_020517,NC_020517.1,707813,714874,9.4229,1,1,1,1,1
NZ_AP012330,NZ_AP012330.1,634128,638238,5.2206,0,1,1,1,0
NZ_AP022379,NZ_AP022379.1,575758,587419,9.4001,1,1,1,1,1
NZ_CP079235,NZ_CP079235.1,635830,639940,5.2207,0,1,1,1,0
