genome	pulid	protein_id	contig	start	end	strand	dist	protein_name	sus	hmm	active
NZ_JPOL01000002	PUL1	NZ_JPOL01000002.1_45	NZ_JPOL01000002.1	55841	57838	-	0	NZ_JPOL01000002.1_45		GH51_2	
NZ_JPOL01000002	PUL1	NZ_JPOL01000002.1_46	NZ_JPOL01000002.1	57861	60230	-	23	NZ_JPOL01000002.1_46		GH146	
NZ_JPOL01000002	PUL1	NZ_JPOL01000002.1_47	NZ_JPOL01000002.1	60232	61230	-	2	NZ_JPOL01000002.1_47		GH43_5	
NZ_JPOL01000002	PUL1	NZ_JPOL01000002.1_48	NZ_JPOL01000002.1	61234	62250	-	4	NZ_JPOL01000002.1_48		GH43_29	
NZ_JPOL01000002	PUL1	NZ_JPOL01000002.1_49	NZ_JPOL01000002.1	62311	63867	-	61	NZ_JPOL01000002.1_49		GH51_1	
NZ_JPOL01000002	PUL1	NZ_JPOL01000002.1_50	NZ_JPOL01000002.1	63987	65552	-	120	NZ_JPOL01000002.1_50	susD		
NZ_JPOL01000002	PUL1	NZ_JPOL01000002.1_51	NZ_JPOL01000002.1	65563	68655	-	11	NZ_JPOL01000002.1_51	susC		
NZ_JPOL01000002	PUL2	NZ_JPOL01000002.1_223	NZ_JPOL01000002.1	289434	292397	+	220779	NZ_JPOL01000002.1_223	susC		
NZ_JPOL01000002	PUL2	NZ_JPOL01000002.1_224	NZ_JPOL01000002.1	292408	294048	+	11	NZ_JPOL01000002.1_224	susD		
NZ_JPOL01000002	PUL2	NZ_JPOL01000002.1_225	NZ_JPOL01000002.1	294062	295195	+	14	NZ_JPOL01000002.1_225		GH33	
NZ_JPOL01000002	PUL2	NZ_JPOL01000002.1_226	NZ_JPOL01000002.1	295243	296175	+	48	NZ_JPOL01000002.1_226			
NZ_JPOL01000002	PUL2	NZ_JPOL01000002.1_227	NZ_JPOL01000002.1	296211	297710	+	36	NZ_JPOL01000002.1_227			
NZ_JPOL01000002	PUL2	NZ_JPOL01000002.1_228	NZ_JPOL01000002.1	297769	299541	+	59	NZ_JPOL01000002.1_228			
NZ_JPOL01000002	PUL2	NZ_JPOL01000002.1_229	NZ_JPOL01000002.1	299592	301559	+	51	NZ_JPOL01000002.1_229		GH84	
NZ_JPOL01000002	PUL3	NZ_JPOL01000002.1_344	NZ_JPOL01000002.1	431850	433637	-	130291	NZ_JPOL01000002.1_344	susD		
NZ_JPOL01000002	PUL3	NZ_JPOL01000002.1_345	NZ_JPOL01000002.1	433658	436909	-	21	NZ_JPOL01000002.1_345	susC		
NZ_JPOL01000002	PUL3	NZ_JPOL01000002.1_346	NZ_JPOL01000002.1	437177	438421	-	268	NZ_JPOL01000002.1_346			
NZ_JPOL01000002	PUL3	NZ_JPOL01000002.1_347	NZ_JPOL01000002.1	438889	440052	-	468	NZ_JPOL01000002.1_347		GH130_3	
NZ_JPOL01000002	PUL3	NZ_JPOL01000002.1_348	NZ_JPOL01000002.1	440441	443758	-	389	NZ_JPOL01000002.1_348		GH13_16	
NZ_JPOL01000002	PUL4	NZ_JPOL01000002.1_378	NZ_JPOL01000002.1	485437	486903	-	41679	NZ_JPOL01000002.1_378	susD		
NZ_JPOL01000002	PUL4	NZ_JPOL01000002.1_379	NZ_JPOL01000002.1	486916	489939	-	13	NZ_JPOL01000002.1_379	susC		
NZ_JPOL01000002	PUL4	NZ_JPOL01000002.1_380	NZ_JPOL01000002.1	490255	491748	-	316	NZ_JPOL01000002.1_380			
NZ_JPOL01000002	PUL4	NZ_JPOL01000002.1_381	NZ_JPOL01000002.1	491960	493021	+	212	NZ_JPOL01000002.1_381			
NZ_JPOL01000002	PUL4	NZ_JPOL01000002.1_382	NZ_JPOL01000002.1	493246	495420	+	225	NZ_JPOL01000002.1_382		GH67	
NZ_JPOL01000002	PUL4	NZ_JPOL01000002.1_383	NZ_JPOL01000002.1	495499	496623	+	79	NZ_JPOL01000002.1_383		GH10	
NZ_JPOL01000002	PUL4	NZ_JPOL01000002.1_384	NZ_JPOL01000002.1	496628	499474	+	5	NZ_JPOL01000002.1_384		GH115	
NZ_JPOL01000002	PUL4	NZ_JPOL01000002.1_385	NZ_JPOL01000002.1	499840	502035	-	366	NZ_JPOL01000002.1_385		GH10	
NZ_JPOL01000002	PUL4	NZ_JPOL01000002.1_386	NZ_JPOL01000002.1	502100	503461	-	65	NZ_JPOL01000002.1_386			
NZ_JPOL01000002	PUL4	NZ_JPOL01000002.1_387	NZ_JPOL01000002.1	503503	505134	-	42	NZ_JPOL01000002.1_387	susD		
NZ_JPOL01000002	PUL4	NZ_JPOL01000002.1_388	NZ_JPOL01000002.1	505145	508312	-	11	NZ_JPOL01000002.1_388	susC		
NZ_JPOL01000002	PUL5	NZ_JPOL01000002.1_389	NZ_JPOL01000002.1	508923	511298	-	611	NZ_JPOL01000002.1_389		CBM9;CE15	
NZ_JPOL01000002	PUL5	NZ_JPOL01000002.1_390	NZ_JPOL01000002.1	511564	513516	-	266	NZ_JPOL01000002.1_390	susD		
NZ_JPOL01000002	PUL5	NZ_JPOL01000002.1_391	NZ_JPOL01000002.1	513527	516598	-	11	NZ_JPOL01000002.1_391	susC		
NZ_JPOL01000002	PUL6	NZ_JPOL01000002.1_723	NZ_JPOL01000002.1	877661	878800	-	361063	NZ_JPOL01000002.1_723		GH10	
NZ_JPOL01000002	PUL6	NZ_JPOL01000002.1_724	NZ_JPOL01000002.1	878998	880686	-	198	NZ_JPOL01000002.1_724		GH10	
NZ_JPOL01000002	PUL6	NZ_JPOL01000002.1_725	NZ_JPOL01000002.1	880722	881756	-	36	NZ_JPOL01000002.1_725			
NZ_JPOL01000002	PUL6	NZ_JPOL01000002.1_726	NZ_JPOL01000002.1	881799	883550	-	43	NZ_JPOL01000002.1_726	susD		
NZ_JPOL01000002	PUL6	NZ_JPOL01000002.1_727	NZ_JPOL01000002.1	883569	886622	-	19	NZ_JPOL01000002.1_727			
NZ_JPOL01000002	PUL6	NZ_JPOL01000002.1_728	NZ_JPOL01000002.1	886685	888577	-	63	NZ_JPOL01000002.1_728	susD		
NZ_JPOL01000002	PUL6	NZ_JPOL01000002.1_729	NZ_JPOL01000002.1	888589	891783	-	12	NZ_JPOL01000002.1_729	susC		
NZ_JPOL01000002	PUL7	NZ_JPOL01000002.1_873	NZ_JPOL01000002.1	1061269	1062636	-	169486	NZ_JPOL01000002.1_873	susD		
NZ_JPOL01000002	PUL7	NZ_JPOL01000002.1_874	NZ_JPOL01000002.1	1062643	1065705	-	7	NZ_JPOL01000002.1_874	susC		
NZ_JPOL01000002	PUL7	NZ_JPOL01000002.1_875	NZ_JPOL01000002.1	1066000	1067505	-	295	NZ_JPOL01000002.1_875	susD		
NZ_JPOL01000002	PUL7	NZ_JPOL01000002.1_876	NZ_JPOL01000002.1	1067520	1070795	-	15	NZ_JPOL01000002.1_876	susC		
NZ_JPOL01000002	PUL8	NZ_JPOL01000002.1_951	NZ_JPOL01000002.1	1150808	1151278	-	80013	NZ_JPOL01000002.1_951		GH28	
NZ_JPOL01000002	PUL8	NZ_JPOL01000002.1_952	NZ_JPOL01000002.1	1151296	1152174	-	18	NZ_JPOL01000002.1_952		GH28	
NZ_JPOL01000002	PUL8	NZ_JPOL01000002.1_953	NZ_JPOL01000002.1	1152164	1152508	-	-10	NZ_JPOL01000002.1_953		AA18	
NZ_JPOL01000002	PUL8	NZ_JPOL01000002.1_954	NZ_JPOL01000002.1	1152557	1153660	-	49	NZ_JPOL01000002.1_954		PL10_1	
NZ_JPOL01000002	PUL8	NZ_JPOL01000002.1_955	NZ_JPOL01000002.1	1153668	1154435	-	8	NZ_JPOL01000002.1_955		CE12	
NZ_JPOL01000002	PUL8	NZ_JPOL01000002.1_956	NZ_JPOL01000002.1	1154441	1155421	-	6	NZ_JPOL01000002.1_956		CE8	
NZ_JPOL01000002	PUL8	NZ_JPOL01000002.1_957	NZ_JPOL01000002.1	1155426	1156394	-	5	NZ_JPOL01000002.1_957			
NZ_JPOL01000002	PUL8	NZ_JPOL01000002.1_958	NZ_JPOL01000002.1	1156394	1157236	-	0	NZ_JPOL01000002.1_958		CE12	
NZ_JPOL01000002	PUL8	NZ_JPOL01000002.1_959	NZ_JPOL01000002.1	1157243	1158868	-	7	NZ_JPOL01000002.1_959		CBM91;GH43_10	
NZ_JPOL01000002	PUL8	NZ_JPOL01000002.1_960	NZ_JPOL01000002.1	1158877	1160136	-	9	NZ_JPOL01000002.1_960		GH105	
NZ_JPOL01000002	PUL8	NZ_JPOL01000002.1_961	NZ_JPOL01000002.1	1160138	1161154	-	2	NZ_JPOL01000002.1_961			
NZ_JPOL01000002	PUL8	NZ_JPOL01000002.1_962	NZ_JPOL01000002.1	1161268	1162710	-	114	NZ_JPOL01000002.1_962		GH28	
NZ_JPOL01000002	PUL8	NZ_JPOL01000002.1_963	NZ_JPOL01000002.1	1163018	1164358	-	308	NZ_JPOL01000002.1_963		PL1_2	
NZ_JPOL01000002	PUL8	NZ_JPOL01000002.1_964	NZ_JPOL01000002.1	1164528	1166378	-	170	NZ_JPOL01000002.1_964		PL9_1	
NZ_JPOL01000002	PUL8	NZ_JPOL01000002.1_965	NZ_JPOL01000002.1	1166375	1171051	-	-3	NZ_JPOL01000002.1_965		CE8	
NZ_JPOL01000002	PUL8	NZ_JPOL01000002.1_966	NZ_JPOL01000002.1	1171380	1172933	-	329	NZ_JPOL01000002.1_966			
NZ_JPOL01000002	PUL8	NZ_JPOL01000002.1_967	NZ_JPOL01000002.1	1172964	1174754	-	31	NZ_JPOL01000002.1_967	susD		
NZ_JPOL01000002	PUL8	NZ_JPOL01000002.1_968	NZ_JPOL01000002.1	1174764	1177988	-	10	NZ_JPOL01000002.1_968	susC		
NZ_JPOL01000002	PUL9	NZ_JPOL01000002.1_986	NZ_JPOL01000002.1	1198755	1200095	-	20767	NZ_JPOL01000002.1_986		GH177	
NZ_JPOL01000002	PUL9	NZ_JPOL01000002.1_987	NZ_JPOL01000002.1	1200100	1201482	-	5	NZ_JPOL01000002.1_987			
NZ_JPOL01000002	PUL9	NZ_JPOL01000002.1_988	NZ_JPOL01000002.1	1201741	1203345	-	259	NZ_JPOL01000002.1_988	susD		
NZ_JPOL01000002	PUL9	NZ_JPOL01000002.1_989	NZ_JPOL01000002.1	1203358	1206435	-	13	NZ_JPOL01000002.1_989	susC		
NZ_JPOL01000002	PUL10	NZ_JPOL01000002.1_1027	NZ_JPOL01000002.1	1232971	1236186	+	26536	NZ_JPOL01000002.1_1027	susC		
NZ_JPOL01000002	PUL10	NZ_JPOL01000002.1_1028	NZ_JPOL01000002.1	1236199	1237653	+	13	NZ_JPOL01000002.1_1028	susD		
NZ_JPOL01000002	PUL10	NZ_JPOL01000002.1_1029	NZ_JPOL01000002.1	1237864	1238088	+	211	NZ_JPOL01000002.1_1029			
NZ_JPOL01000002	PUL10	NZ_JPOL01000002.1_1030	NZ_JPOL01000002.1	1238432	1239859	-	344	NZ_JPOL01000002.1_1030			
NZ_JPOL01000002	PUL10	NZ_JPOL01000002.1_1031	NZ_JPOL01000002.1	1240156	1243377	+	297	NZ_JPOL01000002.1_1031	susC		
NZ_JPOL01000002	PUL10	NZ_JPOL01000002.1_1032	NZ_JPOL01000002.1	1243392	1245047	+	15	NZ_JPOL01000002.1_1032	susD		
NZ_JPOL01000002	PUL10	NZ_JPOL01000002.1_1033	NZ_JPOL01000002.1	1245059	1245964	+	12	NZ_JPOL01000002.1_1033			
NZ_JPOL01000002	PUL10	NZ_JPOL01000002.1_1034	NZ_JPOL01000002.1	1246079	1246813	+	115	NZ_JPOL01000002.1_1034			
NZ_JPOL01000002	PUL10	NZ_JPOL01000002.1_1035	NZ_JPOL01000002.1	1247171	1250440	+	358	NZ_JPOL01000002.1_1035	susC		
NZ_JPOL01000002	PUL10	NZ_JPOL01000002.1_1036	NZ_JPOL01000002.1	1250451	1251896	+	11	NZ_JPOL01000002.1_1036	susD		
NZ_JPOL01000002	PUL10	NZ_JPOL01000002.1_1037	NZ_JPOL01000002.1	1252100	1252924	+	204	NZ_JPOL01000002.1_1037			
NZ_JPOL01000002	PUL10	NZ_JPOL01000002.1_1038	NZ_JPOL01000002.1	1252933	1255686	+	9	NZ_JPOL01000002.1_1038	susC		
NZ_JPOL01000002	PUL11	NZ_JPOL01000002.1_1213	NZ_JPOL01000002.1	1440893	1442680	-	185207	NZ_JPOL01000002.1_1213	susD		
NZ_JPOL01000002	PUL11	NZ_JPOL01000002.1_1214	NZ_JPOL01000002.1	1442715	1446014	-	35	NZ_JPOL01000002.1_1214	susC		
NZ_JPOL01000002	PUL12	NZ_JPOL01000002.1_1217	NZ_JPOL01000002.1	1449811	1452219	-	3797	NZ_JPOL01000002.1_1217	susC		
NZ_JPOL01000002	PUL12	NZ_JPOL01000002.1_1218	NZ_JPOL01000002.1	1452343	1452717	-	124	NZ_JPOL01000002.1_1218			
NZ_JPOL01000002	PUL12	NZ_JPOL01000002.1_1219	NZ_JPOL01000002.1	1453097	1453627	+	380	NZ_JPOL01000002.1_1219			
NZ_JPOL01000002	PUL12	NZ_JPOL01000002.1_1220	NZ_JPOL01000002.1	1453725	1456934	+	98	NZ_JPOL01000002.1_1220	susC		
NZ_JPOL01000002	PUL12	NZ_JPOL01000002.1_1221	NZ_JPOL01000002.1	1456945	1458396	+	11	NZ_JPOL01000002.1_1221	susD		
NZ_JPOL01000002	PUL13	NZ_JPOL01000002.1_1258	NZ_JPOL01000002.1	1498719	1500065	+	40323	NZ_JPOL01000002.1_1258		GH177	
NZ_JPOL01000002	PUL13	NZ_JPOL01000002.1_1259	NZ_JPOL01000002.1	1500129	1503506	-	64	NZ_JPOL01000002.1_1259			
NZ_JPOL01000002	PUL13	NZ_JPOL01000002.1_1260	NZ_JPOL01000002.1	1503709	1505580	-	203	NZ_JPOL01000002.1_1260	susD		
NZ_JPOL01000002	PUL13	NZ_JPOL01000002.1_1261	NZ_JPOL01000002.1	1505584	1508763	-	4	NZ_JPOL01000002.1_1261	susC		
NZ_JPOL01000002	PUL14	NZ_JPOL01000002.1_1368	NZ_JPOL01000002.1	1632050	1634320	-	123287	NZ_JPOL01000002.1_1368		GH3	
NZ_JPOL01000002	PUL14	NZ_JPOL01000002.1_1369	NZ_JPOL01000002.1	1634320	1635132	-	0	NZ_JPOL01000002.1_1369		CE1	
NZ_JPOL01000002	PUL14	NZ_JPOL01000002.1_1370	NZ_JPOL01000002.1	1635185	1636624	-	53	NZ_JPOL01000002.1_1370		GH144	
NZ_JPOL01000002	PUL14	NZ_JPOL01000002.1_1371	NZ_JPOL01000002.1	1636572	1637915	-	-52	NZ_JPOL01000002.1_1371		GH144	
NZ_JPOL01000002	PUL14	NZ_JPOL01000002.1_1372	NZ_JPOL01000002.1	1637945	1639366	-	30	NZ_JPOL01000002.1_1372	susD		
NZ_JPOL01000002	PUL14	NZ_JPOL01000002.1_1373	NZ_JPOL01000002.1	1639384	1642503	-	18	NZ_JPOL01000002.1_1373	susC		
NZ_JPOL01000002	PUL15	NZ_JPOL01000002.1_1499	NZ_JPOL01000002.1	1796425	1799385	+	153922	NZ_JPOL01000002.1_1499	susC		
NZ_JPOL01000002	PUL15	NZ_JPOL01000002.1_1500	NZ_JPOL01000002.1	1799396	1801096	+	11	NZ_JPOL01000002.1_1500	susD		
NZ_JPOL01000002	PUL15	NZ_JPOL01000002.1_1501	NZ_JPOL01000002.1	1801131	1801922	+	35	NZ_JPOL01000002.1_1501			
NZ_JPOL01000002	PUL15	NZ_JPOL01000002.1_1502	NZ_JPOL01000002.1	1801929	1803002	+	7	NZ_JPOL01000002.1_1502		GH43_26	
NZ_JPOL01000002	PUL15	NZ_JPOL01000002.1_1503	NZ_JPOL01000002.1	1803007	1804068	+	5	NZ_JPOL01000002.1_1503		GH5_13	
