genome	pulid	protein_id	contig	start	end	strand	dist	protein_name	sus	hmm	active
JABKKF010000001	PUL1	JABKKF010000001.1_211	JABKKF010000001.1	275557	277524	+	0	JABKKF010000001.1_211	susC		
JABKKF010000001	PUL1	JABKKF010000001.1_212	JABKKF010000001.1	277521	281768	+	-3	JABKKF010000001.1_212			
JABKKF010000001	PUL1	JABKKF010000001.1_213	JABKKF010000001.1	281768	282454	+	0	JABKKF010000001.1_213			
JABKKF010000001	PUL1	JABKKF010000001.1_214	JABKKF010000001.1	282451	283056	+	-3	JABKKF010000001.1_214			
JABKKF010000001	PUL1	JABKKF010000001.1_215	JABKKF010000001.1	283053	283391	+	-3	JABKKF010000001.1_215			
JABKKF010000001	PUL1	JABKKF010000001.1_216	JABKKF010000001.1	283537	286104	-	146	JABKKF010000001.1_216		GH3	
JABKKF010000001	PUL1	JABKKF010000001.1_217	JABKKF010000001.1	286180	286380	+	76	JABKKF010000001.1_217			
JABKKF010000001	PUL1	JABKKF010000001.1_218	JABKKF010000001.1	286545	288896	+	165	JABKKF010000001.1_218			
JABKKF010000001	PUL1	JABKKF010000001.1_219	JABKKF010000001.1	288916	292191	+	20	JABKKF010000001.1_219	susC		
JABKKF010000001	PUL1	JABKKF010000001.1_220	JABKKF010000001.1	292208	293773	+	17	JABKKF010000001.1_220	susD		
JABKKF010000001	PUL1	JABKKF010000001.1_221	JABKKF010000001.1	293786	295549	+	13	JABKKF010000001.1_221			
JABKKF010000001	PUL1	JABKKF010000001.1_222	JABKKF010000001.1	295565	297379	+	16	JABKKF010000001.1_222			
JABKKF010000001	PUL1	JABKKF010000001.1_223	JABKKF010000001.1	297400	300519	+	21	JABKKF010000001.1_223	susC		
JABKKF010000001	PUL1	JABKKF010000001.1_224	JABKKF010000001.1	300528	302432	+	9	JABKKF010000001.1_224			
JABKKF010000001	PUL1	JABKKF010000001.1_225	JABKKF010000001.1	302539	304806	+	107	JABKKF010000001.1_225			
JABKKF010000001	PUL1	JABKKF010000001.1_226	JABKKF010000001.1	305150	307246	+	344	JABKKF010000001.1_226		PL1_2	
JABKKF010000001	PUL2	JABKKF010000001.1_321	JABKKF010000001.1	437271	438413	+	130025	JABKKF010000001.1_321		GH43_24	
JABKKF010000001	PUL2	JABKKF010000001.1_322	JABKKF010000001.1	438882	442481	+	469	JABKKF010000001.1_322			
JABKKF010000001	PUL2	JABKKF010000001.1_323	JABKKF010000001.1	442580	446830	+	99	JABKKF010000001.1_323		GH43_19;GH51_2	
JABKKF010000001	PUL2	JABKKF010000001.1_324	JABKKF010000001.1	446846	449557	+	16	JABKKF010000001.1_324			
JABKKF010000001	PUL2	JABKKF010000001.1_325	JABKKF010000001.1	449562	452927	+	5	JABKKF010000001.1_325	susC		
JABKKF010000001	PUL2	JABKKF010000001.1_326	JABKKF010000001.1	452943	454667	+	16	JABKKF010000001.1_326	susD		
JABKKF010000001	PUL2	JABKKF010000001.1_327	JABKKF010000001.1	454704	456776	+	37	JABKKF010000001.1_327			
JABKKF010000001	PUL2	JABKKF010000001.1_328	JABKKF010000001.1	456801	458495	+	25	JABKKF010000001.1_328			
JABKKF010000001	PUL2	JABKKF010000001.1_329	JABKKF010000001.1	458529	461813	+	34	JABKKF010000001.1_329	susC		
JABKKF010000001	PUL2	JABKKF010000001.1_330	JABKKF010000001.1	461835	463601	+	22	JABKKF010000001.1_330			
JABKKF010000001	PUL2	JABKKF010000001.1_331	JABKKF010000001.1	463636	467310	+	35	JABKKF010000001.1_331		GH128	
