genome	pulid	protein_id	contig	start	end	strand	dist	protein_name	sus	hmm	active
NZ_JH815204	PUL1	NZ_JH815204.1_95	NZ_JH815204.1	116594	119848	+	0	NZ_JH815204.1_95	susC		
NZ_JH815204	PUL1	NZ_JH815204.1_96	NZ_JH815204.1	119881	121644	+	33	NZ_JH815204.1_96	susD		
NZ_JH815204	PUL1	NZ_JH815204.1_97	NZ_JH815204.1	121664	123595	+	20	NZ_JH815204.1_97			
NZ_JH815204	PUL1	NZ_JH815204.1_98	NZ_JH815204.1	123712	127458	+	117	NZ_JH815204.1_98		GH85	
NZ_JH815204	PUL2	NZ_JH815204.1_124	NZ_JH815204.1	154500	157604	+	27042	NZ_JH815204.1_124	susC		
NZ_JH815204	PUL2	NZ_JH815204.1_125	NZ_JH815204.1	157617	159152	+	13	NZ_JH815204.1_125	susD		
NZ_JH815204	PUL3	NZ_JH815204.1_149	NZ_JH815204.1	188498	191809	+	29346	NZ_JH815204.1_149	susC		
NZ_JH815204	PUL3	NZ_JH815204.1_150	NZ_JH815204.1	191841	193559	+	32	NZ_JH815204.1_150	susD		
NZ_JH815204	PUL3	NZ_JH815204.1_151	NZ_JH815204.1	193573	195798	+	14	NZ_JH815204.1_151		GH92	
NZ_JH815204	PUL3	NZ_JH815204.1_152	NZ_JH815204.1	195808	197787	+	10	NZ_JH815204.1_152		GH97	
NZ_JH815204	PUL4	NZ_JH815204.1_423	NZ_JH815204.1	491216	493429	+	293429	NZ_JH815204.1_423	susC		
NZ_JH815204	PUL4	NZ_JH815204.1_424	NZ_JH815204.1	493466	493837	+	37	NZ_JH815204.1_424			
NZ_JH815204	PUL4	NZ_JH815204.1_425	NZ_JH815204.1	493904	494518	-	67	NZ_JH815204.1_425			
NZ_JH815204	PUL4	NZ_JH815204.1_426	NZ_JH815204.1	494828	496228	+	310	NZ_JH815204.1_426			
NZ_JH815204	PUL4	NZ_JH815204.1_427	NZ_JH815204.1	496585	497676	-	357	NZ_JH815204.1_427			
NZ_JH815204	PUL4	NZ_JH815204.1_428	NZ_JH815204.1	497854	499656	-	178	NZ_JH815204.1_428	susD		
NZ_JH815204	PUL4	NZ_JH815204.1_429	NZ_JH815204.1	499668	501260	-	12	NZ_JH815204.1_429	susC		
NZ_JH815204	PUL4	NZ_JH815204.1_430	NZ_JH815204.1	501241	503184	-	-19	NZ_JH815204.1_430	susC		
NZ_JH815204	PUL5	NZ_JH815204.1_654	NZ_JH815204.1	771118	774168	-	267934	NZ_JH815204.1_654		GH85	
NZ_JH815204	PUL5	NZ_JH815204.1_655	NZ_JH815204.1	774260	776047	-	92	NZ_JH815204.1_655	susD		
NZ_JH815204	PUL5	NZ_JH815204.1_656	NZ_JH815204.1	776069	779371	-	22	NZ_JH815204.1_656	susC		
NZ_JH815204	PUL6	NZ_JH815204.1_750	NZ_JH815204.1	885320	887074	-	105949	NZ_JH815204.1_750		GH5_5	
NZ_JH815204	PUL6	NZ_JH815204.1_751	NZ_JH815204.1	887238	887822	-	164	NZ_JH815204.1_751			
NZ_JH815204	PUL6	NZ_JH815204.1_752	NZ_JH815204.1	887837	889720	-	15	NZ_JH815204.1_752			
NZ_JH815204	PUL6	NZ_JH815204.1_753	NZ_JH815204.1	889698	891338	-	-22	NZ_JH815204.1_753			
NZ_JH815204	PUL6	NZ_JH815204.1_754	NZ_JH815204.1	891356	893569	-	18	NZ_JH815204.1_754		GH92	
NZ_JH815204	PUL6	NZ_JH815204.1_755	NZ_JH815204.1	893612	896167	-	43	NZ_JH815204.1_755			
NZ_JH815204	PUL6	NZ_JH815204.1_756	NZ_JH815204.1	896191	897048	-	24	NZ_JH815204.1_756			
NZ_JH815204	PUL6	NZ_JH815204.1_757	NZ_JH815204.1	897079	898809	-	31	NZ_JH815204.1_757	susD		
NZ_JH815204	PUL6	NZ_JH815204.1_758	NZ_JH815204.1	898827	901640	-	18	NZ_JH815204.1_758	susC		
NZ_JH815204	PUL6	NZ_JH815204.1_759	NZ_JH815204.1	901653	903476	-	13	NZ_JH815204.1_759	susD		
