Organism,Scaffold,Start,End,Score,CR626927_736,CR626927_737,CR626927_738,CR626927_739
AP006841,AP006841.1,1004858,1009788,7.3320,1,1,1,1
CR626927,CR626927.1,944104,949034,7.3324,1,1,1,1
FQ312004,FQ312004.1,997495,1002425,7.3318,1,1,1,1
