Organism,Scaffold,Start,End,Score,FP476056_3609,FP476056_3610,FP476056_3611,FP476056_3612,FP476056_3613,FP476056_3614,FP476056_3615,FP476056_3616,FP476056_3617
CP002534,CP002534.1,1432969,1446936,7.5016,0,0,1,1,0,1,0,1,1
FP476056,FP476056.1,4483179,4500301,18.0904,1,1,1,1,1,1,1,1,1
NZ_CAJQES010000007,NZ_CAJQES010000007.1,66285,73831,7.3340,0,0,0,0,0,1,1,1,1
NZ_CP009976,NZ_CP009976.1,1518082,1525627,4.2638,0,0,0,0,0,1,0,1,1
NZ_VISB01000001,NZ_VISB01000001.1,352497,360031,4.2649,0,0,0,0,0,1,0,1,1
