Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
BACUNI_RS15325	QUT61947.1|GH43_33	100	367	0	0	1	367	1	367	6.42e-287	779
BACUNI_RS15330	QQA30418.1|GH2	100	665	0	0	1	665	1	665	0.0	1410
BACUNI_RS15340	AST56160.1|GH35	30.5	909	490	31	241	1058	714	1571	3.31e-106	370
BACUNI_RS15355	QUT61941.1|GH5_4	100	477	0	0	1	477	1	477	0.0	987
BACUNI_RS15360	QQA30412.1|GH97	100	690	0	0	1	690	1	690	0.0	1417
BACUNI_RS15365	QUT61939.1|GH2	100	1241	0	0	1	1241	1	1241	0.0	2597
BACUNI_RS15370	QQA30410.1|GH42	100	686	0	0	1	686	1	686	0.0	1434
BACUNI_RS15375	QUT61937.1|GH2	100	1035	0	0	1	1035	1	1035	0.0	2181
BACUNI_RS15380	QQA30408.1|GH29	100	538	0	0	1	538	1	538	0.0	1159
BACUNI_RS15385	QUT61935.1|GH31	100	796	0	0	1	796	1	796	0.0	1666
BACUNI_RS15390	BBK86031.1|CBM6|GH43_16	100	946	0	0	1	946	7	952	0.0	1962
