Organism,Scaffold,Start,End,Score,NZ_PJAI02000001_259,NZ_PJAI02000001_260,NZ_PJAI02000001_261,NZ_PJAI02000001_262,NZ_PJAI02000001_263,NZ_PJAI02000001_264,NZ_PJAI02000001_265,NZ_PJAI02000001_266,NZ_PJAI02000001_267,NZ_PJAI02000001_268,NZ_PJAI02000001_269,NZ_PJAI02000001_270,NZ_PJAI02000001_271,NZ_PJAI02000001_272,NZ_PJAI02000001_273,NZ_PJAI02000001_274,NZ_PJAI02000001_275,NZ_PJAI02000001_276,NZ_PJAI02000001_277,NZ_PJAI02000001_278,NZ_PJAI02000001_279,NZ_PJAI02000001_280,NZ_PJAI02000001_281,NZ_PJAI02000001_282,NZ_PJAI02000001_283,NZ_PJAI02000001_284,NZ_PJAI02000001_285,NZ_PJAI02000001_286,NZ_PJAI02000001_287,NZ_PJAI02000001_288,NZ_PJAI02000001_289,NZ_PJAI02000001_290,NZ_PJAI02000001_291,NZ_PJAI02000001_292,NZ_PJAI02000001_293,NZ_PJAI02000001_294,NZ_PJAI02000001_295,NZ_PJAI02000001_296,NZ_PJAI02000001_297,NZ_PJAI02000001_298,NZ_PJAI02000001_299,NZ_PJAI02000001_300,NZ_PJAI02000001_301,NZ_PJAI02000001_302,NZ_PJAI02000001_303,NZ_PJAI02000001_304
CP000388,CP000388.1,3093174,3097606,7.2433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NC_007912,NC_007912.1,3345938,3350317,7.2122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NC_008228,NC_008228.1,3093174,3097606,7.2433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NZ_LSNE01000005,NZ_LSNE01000005.1,111672,121703,6.3030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NZ_PJAI02000001,NZ_PJAI02000001.1,312860,400633,96.0517,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
