genome	pulid	protein_id	contig	start	end	strand	dist	protein_name	sus	hmm	active
AE015928	PUL1	AE015928.1_31	AE015928.1	22906	26169	+	0	AE015928.1_31	susC		
AE015928	PUL1	AE015928.1_32	AE015928.1	26182	28011	+	13	AE015928.1_32	susD		
AE015928	PUL2	AE015928.1_144	AE015928.1	139982	143212	+	111971	AE015928.1_144	susC		
AE015928	PUL2	AE015928.1_145	AE015928.1	143223	144962	+	11	AE015928.1_145	susD		
AE015928	PUL2	AE015928.1_146	AE015928.1	144992	146377	+	30	AE015928.1_146			
AE015928	PUL2	AE015928.1_147	AE015928.1	146387	147763	+	10	AE015928.1_147			
AE015928	PUL2	AE015928.1_148	AE015928.1	147968	148198	+	205	AE015928.1_148			
AE015928	PUL2	AE015928.1_149	AE015928.1	148218	149618	+	20	AE015928.1_149		GH43_10;CBM91	
AE015928	PUL2	AE015928.1_150	AE015928.1	149679	150899	+	61	AE015928.1_150		GH88	
AE015928	PUL2	AE015928.1_151	AE015928.1	150999	151475	-	100	AE015928.1_151			
AE015928	PUL2	AE015928.1_152	AE015928.1	151535	152824	-	60	AE015928.1_152			
AE015928	PUL2	AE015928.1_153	AE015928.1	152837	152950	+	13	AE015928.1_153			
AE015928	PUL2	AE015928.1_154	AE015928.1	153042	153827	-	92	AE015928.1_154			
AE015928	PUL2	AE015928.1_155	AE015928.1	153863	156241	-	36	AE015928.1_155	susC		
AE015928	PUL2	AE015928.1_156	AE015928.1	156339	156773	+	98	AE015928.1_156			
AE015928	PUL2	AE015928.1_157	AE015928.1	156800	157618	+	27	AE015928.1_157		CE1	
AE015928	PUL3	AE015928.1_196	AE015928.1	200124	203564	+	42506	AE015928.1_196	susC		
AE015928	PUL3	AE015928.1_197	AE015928.1	203588	204979	+	24	AE015928.1_197	susD		
AE015928	PUL4	AE015928.1_270	AE015928.1	293308	294711	+	88329	AE015928.1_270		PL27	
AE015928	PUL4	AE015928.1_271	AE015928.1	294837	296585	-	126	AE015928.1_271		GH43_24	
AE015928	PUL4	AE015928.1_272	AE015928.1	296627	298108	-	42	AE015928.1_272		GH43_24	
AE015928	PUL4	AE015928.1_273	AE015928.1	298121	299581	-	13	AE015928.1_273			
AE015928	PUL4	AE015928.1_274	AE015928.1	299864	303976	+	283	AE015928.1_274			
AE015928	PUL4	AE015928.1_275	AE015928.1	304251	307184	+	275	AE015928.1_275	susC		
AE015928	PUL4	AE015928.1_276	AE015928.1	307218	308756	+	34	AE015928.1_276	susD		
AE015928	PUL4	AE015928.1_277	AE015928.1	308770	309564	+	14	AE015928.1_277			
AE015928	PUL4	AE015928.1_278	AE015928.1	309548	310582	+	-16	AE015928.1_278			
AE015928	PUL4	AE015928.1_279	AE015928.1	310606	313776	+	24	AE015928.1_279	susC		
AE015928	PUL5	AE015928.1_323	AE015928.1	382145	385333	+	68369	AE015928.1_323	susC		
AE015928	PUL5	AE015928.1_324	AE015928.1	385353	386567	+	20	AE015928.1_324	susD		
AE015928	PUL5	AE015928.1_325	AE015928.1	386576	386947	+	9	AE015928.1_325			
AE015928	PUL5	AE015928.1_326	AE015928.1	387094	387897	-	147	AE015928.1_326			
AE015928	PUL5	AE015928.1_327	AE015928.1	387935	388405	-	38	AE015928.1_327			
AE015928	PUL5	AE015928.1_328	AE015928.1	388527	389513	-	122	AE015928.1_328		GH109	
AE015928	PUL6	AE015928.1_366	AE015928.1	432012	433937	-	42499	AE015928.1_366		GH43_4	
AE015928	PUL6	AE015928.1_367	AE015928.1	433972	435777	-	35	AE015928.1_367	susD		
AE015928	PUL6	AE015928.1_368	AE015928.1	435803	438946	-	26	AE015928.1_368	susC		
AE015928	PUL6	AE015928.1_369	AE015928.1	438957	440732	-	11	AE015928.1_369	susD		
AE015928	PUL6	AE015928.1_370	AE015928.1	440745	443828	-	13	AE015928.1_370	susC		
AE015928	PUL6	AE015928.1_371	AE015928.1	443848	446157	-	20	AE015928.1_371			
AE015928	PUL6	AE015928.1_372	AE015928.1	446387	450649	-	230	AE015928.1_372			
AE015928	PUL6	AE015928.1_373	AE015928.1	450805	452346	+	156	AE015928.1_373		GH43_4	
AE015928	PUL6	AE015928.1_374	AE015928.1	452372	454354	+	26	AE015928.1_374		GH51_2	
AE015928	PUL6	AE015928.1_375	AE015928.1	454377	455321	+	23	AE015928.1_375		GH43_29	
AE015928	PUL7	AE015928.1_445	AE015928.1	527840	529870	+	72519	AE015928.1_445		GH89	
AE015928	PUL7	AE015928.1_446	AE015928.1	530005	533124	+	135	AE015928.1_446	susC		
AE015928	PUL7	AE015928.1_447	AE015928.1	533139	535022	+	15	AE015928.1_447	susD		
AE015928	PUL8	AE015928.1_455	AE015928.1	543201	545855	-	8179	AE015928.1_455		CE20	
AE015928	PUL8	AE015928.1_456	AE015928.1	545867	547300	-	12	AE015928.1_456			
AE015928	PUL8	AE015928.1_457	AE015928.1	547436	548839	-	136	AE015928.1_457			
AE015928	PUL8	AE015928.1_458	AE015928.1	548886	550583	-	47	AE015928.1_458			
AE015928	PUL8	AE015928.1_459	AE015928.1	550603	552264	-	20	AE015928.1_459	susD		
AE015928	PUL8	AE015928.1_460	AE015928.1	552283	555507	-	19	AE015928.1_460	susC		
AE015928	PUL9	AE015928.1_490	AE015928.1	595675	598419	+	40168	AE015928.1_490	susC		
AE015928	PUL9	AE015928.1_491	AE015928.1	598438	600171	+	19	AE015928.1_491	susD		
AE015928	PUL10	AE015928.1_773	AE015928.1	936299	939685	+	336128	AE015928.1_773	susC		
