Organism,Scaffold,Start,End,Score,JPOL01000002_381,JPOL01000002_382,JPOL01000002_383,JPOL01000002_384,JPOL01000002_385,JPOL01000002_386,JPOL01000002_387,JPOL01000002_388,JPOL01000002_389,JPOL01000002_390,JPOL01000002_391,JPOL01000002_392,JPOL01000002_393,JPOL01000002_394,JPOL01000002_395,JPOL01000002_396,JPOL01000002_397,JPOL01000002_398,JPOL01000002_399
CP016359,CP016359.1,754784,763184,7.4380,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
NZ_JPOL01000002,NZ_JPOL01000002.1,485436,525817,36.4203,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
NZ_JQNQ01000001,NZ_JQNQ01000001.1,1464316,1470528,5.3374,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
