Organism,Scaffold,Start,End,Score,NZ_CP084061_2557,NZ_CP084061_2558,NZ_CP084061_2559,NZ_CP084061_2560,NZ_CP084061_2561,NZ_CP084061_2562,NZ_CP084061_2563,NZ_CP084061_2564,NZ_CP084061_2565,NZ_CP084061_2566
LT674131,LT674131.1,1149,6872,8.2960,0,0,0,0,1,0,1,1,1,1
LT674132,LT674132.1,26432,30768,7.2192,0,0,0,0,0,0,1,1,1,1
NZ_BTHI01000008,NZ_BTHI01000008.1,57326,60495,5.1540,0,0,0,0,0,0,1,1,1,0
NZ_CP022413,NZ_CP022413.2,515672,523928,11.4027,0,0,0,0,1,1,1,1,1,1
NZ_CP084061,NZ_CP084061.1,2698235,2712112,19.8252,1,1,1,1,1,1,1,1,1,1
NZ_GG657685,NZ_GG657685.1,176154,182859,9.3146,0,0,0,0,1,1,1,1,1,0
