Organism,Scaffold,Start,End,Score,JF327803_1,JF327803_2,JF327803_3,JF327803_4,JF327803_5,JF327803_6,JF327803_7
CP157216,CP157216.1,3507254,3513886,9.3367,0,1,1,1,1,1,0
CP195112,CP195112.1,3550439,3557071,9.3367,0,1,1,1,1,1,0
JF327803,JF327803.1,80,11724,13.6725,1,1,1,1,1,1,1
NC_000964,NC_000964.3,3503019,3509651,9.3367,0,1,1,1,1,1,0
NZ_CP034484,NZ_CP034484.1,3498240,3504872,9.3367,0,1,1,1,1,1,0
SIWZ01000001,SIWZ01000001.1,835742,842374,9.3365,0,1,1,1,1,1,0
