Organism,Scaffold,Start,End,Score,NZ_LSNE01000005_146,NZ_LSNE01000005_147,NZ_LSNE01000005_148,NZ_LSNE01000005_149,NZ_LSNE01000005_150,NZ_LSNE01000005_151,NZ_LSNE01000005_152,NZ_LSNE01000005_153,NZ_LSNE01000005_154,NZ_LSNE01000005_155,NZ_LSNE01000005_156,NZ_LSNE01000005_157,NZ_LSNE01000005_158,NZ_LSNE01000005_159,NZ_LSNE01000005_160,NZ_LSNE01000005_161,NZ_LSNE01000005_162,NZ_LSNE01000005_163,NZ_LSNE01000005_164,NZ_LSNE01000005_165,NZ_LSNE01000005_166,NZ_LSNE01000005_167,NZ_LSNE01000005_168,NZ_LSNE01000005_169,NZ_LSNE01000005_170,NZ_LSNE01000005_171,NZ_LSNE01000005_172,NZ_LSNE01000005_173,NZ_LSNE01000005_174,NZ_LSNE01000005_175,NZ_LSNE01000005_176,NZ_LSNE01000005_177,NZ_LSNE01000005_178,NZ_LSNE01000005_179
CP000388,CP000388.1,1064774,1070025,4.1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
NC_008228,NC_008228.1,1064783,1070025,4.1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
NZ_LSNE01000005,NZ_LSNE01000005.1,187808,238906,70.0030,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
