genome	pulid	contigid	start	end	pattern
NZ_ABJL02000007	PUL1	NZ_ABJL02000007.1	10985	32203	GH3-GH8-GH43_18-GH43-GH43_26-unk-GH182-unk-susD-susC-GH182
NZ_ABJL02000007	PUL2	NZ_ABJL02000007.1	32828	60896	GH5_13-unk-unk-unk-unk-GH43_26;GH2_19-CBM91;GH43_10-unk-unk-GH29-susC-susD-unk-GH43_34-GH43_10;CBM91-susC
NZ_ABJL02000007	PUL3	NZ_ABJL02000007.1	91315	103655	CBM67;GH78-unk-susD-susC-GH2_1
NZ_ABJL02000007	PUL4	NZ_ABJL02000007.1	122984	127914	susC-susD
NZ_ABJL02000007	PUL5	NZ_ABJL02000007.1	167123	185559	CE1-unk-GH43_7-susC-susD-unk-CE6;CE1-CE1-unk-GH43_17-GH3-CBM6;GH43_2
NZ_ABJL02000007	PUL6	NZ_ABJL02000007.1	282713	296275	CBM91;GH43_10;GH5_21-unk-unk-unk-susD-susC
NZ_ABJL02000007	PUL7	NZ_ABJL02000007.1	365702	403926	GH30_4-GH2_1-GH30_4-susD-susC-unk-unk-unk-GH30_2-unk-unk-GH76-GH97-GH38-unk-GH125-GH76
NZ_ABJL02000007	PUL8	NZ_ABJL02000007.1	411984	416563	susD-susC
NZ_ABJL02000007	PUL9	NZ_ABJL02000007.1	447228	509839	GH2_18-unk-GH177-unk-unk-unk-unk-GH43_31-unk-susC-susD-GH43_3-unk-GH182-unk-GH105-unk-unk-GH105-GH2_17-unk-GH130_3-GH105-GH115-GH31_15-unk-susC-susD-GH43_3-GH43_3-GH182-unk-unk-CE20
NZ_ABJL02000007	PUL10	NZ_ABJL02000007.1	570252	584722	PL38;GH88-GH2_2;CBM57-GH55_3-unk-unk-susD-susC
NZ_ABJL02000007	PUL11	NZ_ABJL02000007.1	602561	616045	PL8_2-unk-unk-PL8_2-susD-susC
NZ_ABJL02000007	PUL12	NZ_ABJL02000007.1	674066	685626	susC-susD-unk-GH13_48-GH13_48-GH97
NZ_ABJL02000007	PUL13	NZ_ABJL02000007.1	716780	733423	GH2-CE20;CE6-CBM96-susC-susD-unk-GH50
NZ_ABJL02000007	PUL14	NZ_ABJL02000007.1	812709	829475	GH89-unk-GH92-GH28-unk-unk-unk-GH92-susD-susC
NZ_ABJL02000007	PUL15	NZ_ABJL02000007.1	851352	865813	susC-susD-unk-unk-PL8_3-unk-CBM67;GH78
NZ_ABJL02000007	PUL16	NZ_ABJL02000007.1	866349	886005	susC-susD-unk-GH28-GH2_17-GH2_13-GH88-GH28-PL8_3;GH78;CBM67
NZ_ABJL02000007	PUL17	NZ_ABJL02000007.1	891725	920099	susC-susD-unk-GH31_4-GH2_20-PL17_4-GH105-GH2_20-unk-GH2_20-GH30_4-susD-susC
NZ_ABJL02000007	PUL18	NZ_ABJL02000007.1	935927	952543	CE7-unk-GH95-GH97-GH31_14-unk-unk-susD-susC
NZ_ABJL02000007	PUL19	NZ_ABJL02000007.1	1010356	1026205	GH3-susC-susD-unk-GH144-GH144-unk-unk-CBM32;GH43_28-CE1
NZ_ABJL02000007	PUL20	NZ_ABJL02000007.1	1071315	1076378	susD-susC
NZ_ABJL02000007	PUL21	NZ_ABJL02000007.1	1101350	1117344	GH31_4-unk-unk-susC-susD-CBM57;GH2_2
NZ_ABJL02000007	PUL22	NZ_ABJL02000007.1	1215666	1220506	susD-susC
NZ_ABJL02000007	PUL23	NZ_ABJL02000007.1	1365596	1378441	susC-susD-unk-GH66-GH31-GH97
