Organism,Scaffold,Start,End,Score,NZ_CP022479_2396,NZ_CP022479_2397,NZ_CP022479_2398,NZ_CP022479_2399,NZ_CP022479_2400,NZ_CP022479_2401,NZ_CP022479_2402,NZ_CP022479_2403,NZ_CP022479_2404,NZ_CP022479_2405,NZ_CP022479_2406,NZ_CP022479_2407,NZ_CP022479_2408,NZ_CP022479_2409,NZ_CP022479_2410,NZ_CP022479_2411,NZ_CP022479_2412,NZ_CP022479_2413,NZ_CP022479_2414,NZ_CP022479_2415,NZ_CP022479_2416,NZ_CP022479_2417,NZ_CP022479_2418
LR131275,LR131275.1,2144,27694,44.5194,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NZ_CP022479,NZ_CP022479.1,2470854,2497029,46.6540,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NZ_GG697150,NZ_GG697150.2,404289,430513,43.6165,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
