Organism,Scaffold,Start,End,Score,PJDT01000028_117,PJDT01000028_118,PJDT01000028_119,PJDT01000028_120
AE014295,AE014295.3,1733290,1744564,7.4066,1,1,1,1
CP090790,CP090790.1,1312743,1317279,4.2255,1,1,0,1
PJDT01000028,PJDT01000028.1,157705,165136,7.4236,1,1,1,1
