Organism,Scaffold,Start,End,Score,FQ312004_369,FQ312004_370,FQ312004_371,FQ312004_372,FQ312004_373,FQ312004_374,FQ312004_375,FQ312004_376,FQ312004_377
AP006841,AP006841.1,440014,456583,18.0635,1,1,1,1,1,1,1,1,1
CR626927,CR626927.1,386593,403162,18.0665,1,1,1,1,1,1,1,1,1
FQ312004,FQ312004.1,437948,454517,18.0707,1,1,1,1,1,1,1,1,1
