Organism,Scaffold,Start,End,Score,FP476056_3734,FP476056_3735,FP476056_3736,FP476056_3737,FP476056_3738,FP476056_3739,FP476056_3740,FP476056_3741,FP476056_3742,FP476056_3743,FP476056_3744,FP476056_3745
FP476056,FP476056.1,4638407,4653918,23.9429,1,1,1,1,1,1,1,1,1,1,1,1
NC_014934,NC_014934.1,266329,269188,4.1359,0,0,0,0,0,0,1,1,0,0,1,0
NZ_CP009976,NZ_CP009976.1,4327761,4331811,6.1844,0,0,0,0,0,0,1,1,0,0,1,1
