genome	pulid	protein_id	contig	start	end	strand	dist	protein_name	sus	hmm	active
LT622246	PUL1	LT622246.1_45	LT622246.1	48540	51773	+	0	LT622246.1_45	susC		
LT622246	PUL1	LT622246.1_46	LT622246.1	51787	53799	+	14	LT622246.1_46	susD		
LT622246	PUL2	LT622246.1_71	LT622246.1	74069	77416	+	20270	LT622246.1_71	susC		
LT622246	PUL2	LT622246.1_72	LT622246.1	77429	78922	+	13	LT622246.1_72	susD		
LT622246	PUL2	LT622246.1_73	LT622246.1	78942	80456	+	20	LT622246.1_73			
LT622246	PUL2	LT622246.1_74	LT622246.1	80469	81434	+	13	LT622246.1_74			
LT622246	PUL2	LT622246.1_75	LT622246.1	81514	82401	+	80	LT622246.1_75			
LT622246	PUL2	LT622246.1_76	LT622246.1	82424	84745	+	23	LT622246.1_76		GH20	
LT622246	PUL2	LT622246.1_77	LT622246.1	84766	86583	+	21	LT622246.1_77		GH78	
LT622246	PUL2	LT622246.1_78	LT622246.1	86674	88041	+	91	LT622246.1_78			
LT622246	PUL2	LT622246.1_79	LT622246.1	88196	91438	+	155	LT622246.1_79		GH106	
LT622246	PUL3	LT622246.1_93	LT622246.1	104215	105768	-	12777	LT622246.1_93		GH50	
LT622246	PUL3	LT622246.1_94	LT622246.1	105779	107191	-	11	LT622246.1_94		GH50	
LT622246	PUL3	LT622246.1_95	LT622246.1	107195	109858	-	4	LT622246.1_95		GH2_2;CBM57	
LT622246	PUL3	LT622246.1_96	LT622246.1	109870	111978	-	12	LT622246.1_96			
LT622246	PUL3	LT622246.1_97	LT622246.1	112010	113623	-	32	LT622246.1_97	susD		
LT622246	PUL3	LT622246.1_98	LT622246.1	113638	116697	-	15	LT622246.1_98	susC		
LT622246	PUL4	LT622246.1_107	LT622246.1	130495	131589	+	13798	LT622246.1_107		PL10_1	
LT622246	PUL4	LT622246.1_108	LT622246.1	131757	133394	-	168	LT622246.1_108			
LT622246	PUL4	LT622246.1_109	LT622246.1	133661	135652	-	267	LT622246.1_109			
LT622246	PUL4	LT622246.1_110	LT622246.1	135745	137004	-	93	LT622246.1_110			
LT622246	PUL4	LT622246.1_111	LT622246.1	137107	138561	-	103	LT622246.1_111	susD		
LT622246	PUL4	LT622246.1_112	LT622246.1	138581	141697	-	20	LT622246.1_112	susC		
LT622246	PUL5	LT622246.1_114	LT622246.1	144081	147023	+	2384	LT622246.1_114	susC		
LT622246	PUL5	LT622246.1_115	LT622246.1	147043	148455	+	20	LT622246.1_115	susD		
LT622246	PUL6	LT622246.1_130	LT622246.1	158516	161602	+	10061	LT622246.1_130	susC		
LT622246	PUL6	LT622246.1_131	LT622246.1	161654	163456	+	52	LT622246.1_131	susD		
LT622246	PUL7	LT622246.1_252	LT622246.1	308676	310442	-	145220	LT622246.1_252	susD		
LT622246	PUL7	LT622246.1_253	LT622246.1	310458	314012	-	16	LT622246.1_253	susC		
LT622246	PUL8	LT622246.1_291	LT622246.1	351346	352308	-	37334	LT622246.1_291		GH43_1	
LT622246	PUL8	LT622246.1_292	LT622246.1	352354	353472	-	46	LT622246.1_292		GH10	
LT622246	PUL8	LT622246.1_293	LT622246.1	353492	354886	-	20	LT622246.1_293			
LT622246	PUL8	LT622246.1_294	LT622246.1	355264	358803	-	378	LT622246.1_294		GH97	
LT622246	PUL8	LT622246.1_295	LT622246.1	358827	360443	-	24	LT622246.1_295			
