genome	pulid	contigid	start	end	pattern
AE015928	PUL1	AE015928.1	22906	28011	susC-susD
AE015928	PUL2	AE015928.1	139982	157618	susC-susD-unk-unk-unk-GH43_10;CBM91-GH88-unk-unk-unk-unk-susC-unk-CE1
AE015928	PUL3	AE015928.1	200124	204979	susC-susD
AE015928	PUL4	AE015928.1	293308	313776	PL27-GH43_24-GH43_24-unk-unk-susC-susD-unk-unk-susC
AE015928	PUL5	AE015928.1	382145	389513	susC-susD-unk-unk-unk-GH109
AE015928	PUL6	AE015928.1	432012	455321	GH43_4-susD-susC-susD-susC-unk-unk-GH43_4-GH51_2-GH43_29
AE015928	PUL7	AE015928.1	527840	535022	GH89-susC-susD
AE015928	PUL8	AE015928.1	543201	555507	CE20-unk-unk-unk-susD-susC
AE015928	PUL9	AE015928.1	595675	600171	susC-susD
AE015928	PUL10	AE015928.1	936299	945092	susC-susD-unk-GH2_2
AE015928	PUL11	AE015928.1	1063214	1068345	susD-susC
AE015928	PUL12	AE015928.1	1270084	1289205	CE19-GH28-GH78;CBM67-GH142;GH143-GH43_18-unk-PL1_2-susD-susC
AE015928	PUL13	AE015928.1	1291332	1296868	susD-susC
AE015928	PUL14	AE015928.1	1300094	1315194	GH92-GH130_2-unk-GH163-unk-unk-unk-susD-susC
AE015928	PUL15	AE015928.1	1317605	1335186	susC-susD-unk-unk-susC-susD-unk-unk-unk-GH20
AE015928	PUL16	AE015928.1	1403968	1408293	susD-susC
AE015928	PUL17	AE015928.1	1590525	1595466	susC-susD
AE015928	PUL18	AE015928.1	1769414	1774037	susD-susC
AE015928	PUL19	AE015928.1	1916828	1921462	susC-susD
AE015928	PUL20	AE015928.1	1989363	2019089	susC-susD-GH20-unk-unk-unk-GH29-GH2_10-GH20-unk-unk-susD-susC-GH18
AE015928	PUL21	AE015928.1	2073899	2079060	susD-susC
AE015928	PUL22	AE015928.1	2173001	2186087	GH32-GH32-unk-susD-susC-unk-GH32
AE015928	PUL23	AE015928.1	2202186	2207509	susD-susC
AE015928	PUL24	AE015928.1	2548741	2553306	susC-susD
AE015928	PUL25	AE015928.1	2640758	2660634	GH92-unk-susC-susD-unk-unk-GH92-GH43_24-GH38
AE015928	PUL26	AE015928.1	2748661	2771939	GH2_10-GH29-unk-CBM32-susD-susC-unk-unk-GH92-unk-susD-susC
AE015928	PUL27	AE015928.1	2826115	2844564	PL10_1-unk-unk-unk-unk-susD-susC-unk-unk-susD-susC
AE015928	PUL28	AE015928.1	2847074	2851583	susC-susD
AE015928	PUL29	AE015928.1	2942417	2952200	susC-susD-susC-susD
AE015928	PUL30	AE015928.1	2977831	2991024	susC-unk-unk-susC-susD
AE015928	PUL31	AE015928.1	3076578	3083752	GH20-susD-susC
AE015928	PUL32	AE015928.1	3162750	3167933	susC-susD
AE015928	PUL33	AE015928.1	3192720	3197753	susD-susC
AE015928	PUL34	AE015928.1	3262908	3288188	GH97-unk-GH67-GH76-unk-susD-susC-unk-unk-unk-GH92-unk-GH76-GH125
AE015928	PUL35	AE015928.1	3480830	3486094	susC-susD
AE015928	PUL36	AE015928.1	3502745	3517638	susC-susD-susC-susD-unk-unk-GH16_3-GH18
AE015928	PUL37	AE015928.1	3557328	3574341	GH36-GH43_10;CBM91-unk-GH3-CBM32;GH2_17-unk-unk-susD-susC
AE015928	PUL38	AE015928.1	3611934	3619724	GH93-susD-susC-GH43_31
AE015928	PUL39	AE015928.1	3626229	3668933	GH43_31-GH182-unk-unk-GH43_3-GH159-unk-unk-susD-susC-unk-unk-GH116-unk-unk-GH146-GH43_26;GH106-GH88-unk-unk-GH154-unk-unk-susD-susC-GH105-GH2_18
AE015928	PUL40	AE015928.1	3708539	3720032	GT4-GT2_Glycos_transf_2-GH92-GH76-unk-susD-susC
AE015928	PUL41	AE015928.1	3725843	3747517	GH115-GH43_24-unk-unk-GH105;PL33_2-PL8_3-unk-unk-susD-susC-GH2_2-GH29
AE015928	PUL42	AE015928.1	3798016	3822324	GH3-unk-unk-unk-susC-susD-unk-unk-susC-unk-unk-unk-unk-GH154
AE015928	PUL43	AE015928.1	3824416	3833328	susC-susD-GH30_6-unk-GH130_1
AE015928	PUL44	AE015928.1	3852033	3869539	GH30_4-unk-susD-susC-unk-unk-unk-GH18
AE015928	PUL45	AE015928.1	3906250	3934511	AA18-GH32-unk-unk-GH31_14-GH31-GH66-unk-susD-susC-unk-GH2_18-unk-GH43-unk-GH51_2
AE015928	PUL46	AE015928.1	3943289	3954811	susD-susC-unk-unk-unk-unk-GH43_31
AE015928	PUL47	AE015928.1	4018183	4034298	GH95-unk-susC-susD-unk-unk-GH110-unk-unk-GH97
AE015928	PUL48	AE015928.1	4040676	4068614	GH31_18-unk-CE20-unk-GH95-unk-susC-susD-unk-unk-GH20-GH2_10
AE015928	PUL49	AE015928.1	4129062	4147724	susD-susC-unk-unk-susC-susD-unk-unk-unk-unk-CE4-GT117
AE015928	PUL50	AE015928.1	4176879	4181688	susC-susD
AE015928	PUL51	AE015928.1	4191588	4196612	susC-susD
AE015928	PUL52	AE015928.1	4212870	4235074	GH2_19-GH2_10;CBM32-GH97-unk-susD-susC-unk-GH31_1-GH3-GH76
AE015928	PUL53	AE015928.1	4248560	4258987	susC-susD-GH30_3-unk-GH3
AE015928	PUL54	AE015928.1	4277069	4287698	PL29-unk-unk-susD-susC
AE015928	PUL55	AE015928.1	4301308	4314217	GH2_10-unk-unk-unk-unk-susD-susC
AE015928	PUL56	AE015928.1	4465787	4478527	GH43_26-unk-unk-GH109-unk-GH177-unk-susD-susC
AE015928	PUL57	AE015928.1	4488562	4493767	susC-susD
AE015928	PUL58	AE015928.1	4515517	4525000	GH76-unk-unk-unk-susC-susD
AE015928	PUL59	AE015928.1	4533444	4568708	GH2_18-GH115-GH43_26-GH43_3;GH43_34-unk-unk-susC-susD-GH76-unk-unk-GH76-unk-unk-GH92-GH125-unk-GH92-GH127
AE015928	PUL60	AE015928.1	4612584	4623704	susC-GH144-GH3-susD-susC
AE015928	PUL61	AE015928.1	4635419	4672312	GH177-unk-GH177-unk-unk-unk-unk-CE9-unk-GH89-unk-GH27;CBM51-unk-unk-unk-unk-CE20-GH20-GH2_17-unk-unk-unk-susD-susC
AE015928	PUL62	AE015928.1	4742081	4773711	GH31_4-unk-GH97-GH43_34-unk-unk-CBM91;GH43_10-GH97-GH29-unk-unk-unk-unk-susC-susD-unk-unk-GH127-GH43_34-unk-GH154
AE015928	PUL63	AE015928.1	4780042	4792038	susC-susD-unk-GH43_24;GH16_3-GH43_24-PL42-GH105
AE015928	PUL64	AE015928.1	4797641	4814851	GT2_Glycos_transf_2-unk-unk-unk-GH13-unk-unk-susD-susC-GH97-GH13_46
AE015928	PUL65	AE015928.1	4918843	4928241	susC-susD-unk-unk-GH76
AE015928	PUL66	AE015928.1	5015957	5031551	susC-susD-unk-unk-GH92-unk-unk-unk-GH99
AE015928	PUL67	AE015928.1	5132450	5141792	susC-susD-unk-unk-GH29
AE015928	PUL68	AE015928.1	5146676	5162752	susC-susD-unk-unk-GH92-GH92-unk-GH92
AE015928	PUL69	AE015928.1	5185604	5190641	susC-susD
AE015928	PUL70	AE015928.1	5248793	5253760	susD-susC
AE015928	PUL71	AE015928.1	5314843	5351524	GH78-CE1-unk-unk-unk-susC-susD-unk-unk-susD-unk-unk-susC-susD-susC-CE20-GH92-GH92-GH130_3-GH43_8
AE015928	PUL72	AE015928.1	5382882	5404403	susD-susC-PL1_2-PL1_2-unk-unk-unk-PL1_2-unk-susC-susD-GH28
AE015928	PUL73	AE015928.1	5421598	5428826	susD-susC-GH29
AE015928	PUL74	AE015928.1	5474559	5507674	susC-susD-unk-unk-susC-unk-PL9-unk-unk-PL26-CE12-GH105-PL11_1-GH105-unk-unk-CE4-CE6
AE015928	PUL75	AE015928.1	5584073	5604482	GH2_10-unk-GH109-unk-unk-susD-susC-unk-unk-unk-GH110-GH109
AE015928	PUL76	AE015928.1	5619664	5624856	susC-susD
AE015928	PUL77	AE015928.1	5660608	5665767	susD-susC
AE015928	PUL78	AE015928.1	5741436	5749363	susC-susD-GH89
AE015928	PUL79	AE015928.1	5800675	5813034	susC-susD-unk-unk-unk-unk-PL33
AE015928	PUL80	AE015928.1	5870614	5883774	susC-unk-unk-unk-unk-susC-unk-unk-unk-unk-susC-susD
AE015928	PUL81	AE015928.1	6065247	6070595	susD-susC
AE015928	PUL82	AE015928.1	6085860	6106983	PL15_2-unk-unk-unk-unk-PL12_2-GH88-susD-susC-unk-PL12_2
AE015928	PUL83	AE015928.1	6176918	6181837	susC-susD
AE015928	PUL84	AE015928.1	6198720	6203495	susC-susD
