Organism,Scaffold,Start,End,Score,LT622246_775,LT622246_776,LT622246_777,LT622246_778,LT622246_779,LT622246_780,LT622246_781,LT622246_782,LT622246_783,LT622246_784,LT622246_785,LT622246_786,LT622246_787,LT622246_788,LT622246_789,LT622246_790,LT622246_791,LT622246_792,LT622246_793,LT622246_794,LT622246_795,LT622246_796,LT622246_797,LT622246_798,LT622246_799,LT622246_800,LT622246_801
AAXF02000047,AAXF02000047.1,186083,237494,53.2314,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AE015928,AE015928.1,4467807,4472223,4.2560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
CP012801,CP012801.1,3277672,3288775,6.5115,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CP012801,CP012801.1,3302656,3307033,4.2546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
EQ973490,EQ973490.1,829249,840352,6.5112,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
EQ973490,EQ973490.1,854444,858821,4.2544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
FP929033,FP929033.1,2466696,2485898,12.7977,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1
JH724241,JH724241.1,312150,363558,53.0471,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LT622246,LT622246.1,960463,1011876,53.2944,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
NC_004663,NC_004663.1,4467807,4472223,4.2582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
NZ_ABJL02000007,NZ_ABJL02000007.1,453177,473369,8.6179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0
NZ_ABJL02000007,NZ_ABJL02000007.1,479769,490848,6.5090,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
NZ_CP012938,NZ_CP012938.1,3666396,3717808,56.3074,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NZ_CP113514,NZ_CP113514.1,5834656,5859048,26.5396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
NZ_CP113514,NZ_CP113514.1,5801066,5816294,15.9532,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NZ_EQ973490,NZ_EQ973490.1,829249,840352,6.5112,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
NZ_EQ973490,NZ_EQ973490.1,854444,858821,4.2544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
NZ_JH992941,NZ_JH992941.1,882846,902231,8.6190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0
NZ_JH992941,NZ_JH992941.1,864341,875435,6.5122,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
