genome	pulid	protein_id	contig	start	end	strand	dist	protein_name	sus	hmm	active
NC_014934	PUL1	NC_014934.1_437	NC_014934.1	506279	509476	+	0	NC_014934.1_437	susC		
NC_014934	PUL1	NC_014934.1_438	NC_014934.1	509526	511256	+	50	NC_014934.1_438	susD		
NC_014934	PUL1	NC_014934.1_439	NC_014934.1	511505	511768	-	249	NC_014934.1_439			
NC_014934	PUL1	NC_014934.1_440	NC_014934.1	511811	512116	-	43	NC_014934.1_440			
NC_014934	PUL1	NC_014934.1_441	NC_014934.1	512496	514682	-	380	NC_014934.1_441			
NC_014934	PUL1	NC_014934.1_442	NC_014934.1	514685	515227	-	3	NC_014934.1_442			
NC_014934	PUL1	NC_014934.1_443	NC_014934.1	515384	517633	-	157	NC_014934.1_443		PL12	
NC_014934	PUL1	NC_014934.1_444	NC_014934.1	517636	519939	-	3	NC_014934.1_444		PL6_1;PL6	
NC_014934	PUL2	NC_014934.1_461	NC_014934.1	539425	540984	-	19486	NC_014934.1_461	susD		
NC_014934	PUL2	NC_014934.1_462	NC_014934.1	541001	544057	-	17	NC_014934.1_462	susC		
NC_014934	PUL3	NC_014934.1_471	NC_014934.1	551838	552605	-	7781	NC_014934.1_471		GH16_3	
NC_014934	PUL3	NC_014934.1_472	NC_014934.1	552615	554879	-	10	NC_014934.1_472		GH3	
NC_014934	PUL3	NC_014934.1_473	NC_014934.1	554976	556607	-	97	NC_014934.1_473		CBM103;GH16_3	
NC_014934	PUL3	NC_014934.1_474	NC_014934.1	556626	558224	-	19	NC_014934.1_474			
NC_014934	PUL3	NC_014934.1_475	NC_014934.1	558243	559721	-	19	NC_014934.1_475	susD		
NC_014934	PUL3	NC_014934.1_476	NC_014934.1	559726	562773	-	5	NC_014934.1_476	susC		
NC_014934	PUL4	NC_014934.1_632	NC_014934.1	718462	721827	+	155689	NC_014934.1_632	susC		
NC_014934	PUL4	NC_014934.1_633	NC_014934.1	721838	723289	+	11	NC_014934.1_633	susD		
NC_014934	PUL5	NC_014934.1_756	NC_014934.1	842384	844153	-	119095	NC_014934.1_756		GH36	
NC_014934	PUL5	NC_014934.1_757	NC_014934.1	844164	847499	-	11	NC_014934.1_757			
NC_014934	PUL5	NC_014934.1_758	NC_014934.1	847589	849178	-	90	NC_014934.1_758	susD		
NC_014934	PUL5	NC_014934.1_759	NC_014934.1	849194	852202	-	16	NC_014934.1_759	susC		
NC_014934	PUL6	NC_014934.1_772	NC_014934.1	869715	871193	-	17513	NC_014934.1_772	susD		
NC_014934	PUL6	NC_014934.1_773	NC_014934.1	871204	874818	-	11	NC_014934.1_773	susC		
NC_014934	PUL7	NC_014934.1_778	NC_014934.1	888870	890378	-	14052	NC_014934.1_778	susD		
NC_014934	PUL7	NC_014934.1_779	NC_014934.1	890392	893748	-	14	NC_014934.1_779	susC		
NC_014934	PUL8	NC_014934.1_861	NC_014934.1	979413	980897	-	85665	NC_014934.1_861	susD		
NC_014934	PUL8	NC_014934.1_862	NC_014934.1	980910	983885	-	13	NC_014934.1_862	susC		
NC_014934	PUL9	NC_014934.1_932	NC_014934.1	1069287	1072412	+	85402	NC_014934.1_932	susC		
NC_014934	PUL9	NC_014934.1_933	NC_014934.1	1072416	1074116	+	4	NC_014934.1_933	susD		
NC_014934	PUL10	NC_014934.1_974	NC_014934.1	1117308	1119179	-	43192	NC_014934.1_974		GH13_38	
NC_014934	PUL10	NC_014934.1_975	NC_014934.1	1119189	1121501	-	10	NC_014934.1_975		GH65	
NC_014934	PUL10	NC_014934.1_976	NC_014934.1	1121562	1122224	-	61	NC_014934.1_976			
NC_014934	PUL10	NC_014934.1_977	NC_014934.1	1122244	1123272	-	20	NC_014934.1_977			
NC_014934	PUL10	NC_014934.1_978	NC_014934.1	1123620	1126685	+	348	NC_014934.1_978	susC		
NC_014934	PUL10	NC_014934.1_979	NC_014934.1	1126698	1128287	+	13	NC_014934.1_979	susD		
NC_014934	PUL11	NC_014934.1_1294	NC_014934.1	1498508	1501783	+	370221	NC_014934.1_1294	susC		
NC_014934	PUL11	NC_014934.1_1295	NC_014934.1	1501790	1503559	+	7	NC_014934.1_1295	susD		
NC_014934	PUL12	NC_014934.1_1559	NC_014934.1	1794292	1795743	-	290733	NC_014934.1_1559	susD		
NC_014934	PUL12	NC_014934.1_1560	NC_014934.1	1795748	1798966	-	5	NC_014934.1_1560	susC		
NC_014934	PUL12	NC_014934.1_1561	NC_014934.1	1799069	1799767	-	103	NC_014934.1_1561			
NC_014934	PUL12	NC_014934.1_1562	NC_014934.1	1800040	1800654	+	273	NC_014934.1_1562			
NC_014934	PUL12	NC_014934.1_1563	NC_014934.1	1800651	1801688	-	-3	NC_014934.1_1563		GT9	
NC_014934	PUL13	NC_014934.1_1999	NC_014934.1	2281222	2284200	+	479534	NC_014934.1_1999	susC		
NC_014934	PUL13	NC_014934.1_2000	NC_014934.1	2284226	2285839	+	26	NC_014934.1_2000	susD		
NC_014934	PUL13	NC_014934.1_2001	NC_014934.1	2286003	2286707	+	164	NC_014934.1_2001			
NC_014934	PUL13	NC_014934.1_2002	NC_014934.1	2286752	2287684	-	45	NC_014934.1_2002		CE6	
NC_014934	PUL13	NC_014934.1_2003	NC_014934.1	2287783	2288655	-	99	NC_014934.1_2003			
NC_014934	PUL13	NC_014934.1_2004	NC_014934.1	2288915	2291998	+	260	NC_014934.1_2004	susC		
NC_014934	PUL13	NC_014934.1_2005	NC_014934.1	2292043	2293545	+	45	NC_014934.1_2005	susD		
NC_014934	PUL13	NC_014934.1_2006	NC_014934.1	2293557	2295224	+	12	NC_014934.1_2006			
NC_014934	PUL13	NC_014934.1_2007	NC_014934.1	2295255	2296772	+	31	NC_014934.1_2007		GH173	
NC_014934	PUL13	NC_014934.1_2008	NC_014934.1	2296825	2297871	+	53	NC_014934.1_2008		GH130_5	
NC_014934	PUL13	NC_014934.1_2009	NC_014934.1	2297864	2299408	+	-7	NC_014934.1_2009		GH173	
NC_014934	PUL13	NC_014934.1_2010	NC_014934.1	2299412	2301049	+	4	NC_014934.1_2010			
NC_014934	PUL13	NC_014934.1_2011	NC_014934.1	2301128	2301625	-	79	NC_014934.1_2011			
NC_014934	PUL13	NC_014934.1_2012	NC_014934.1	2301779	2301904	-	154	NC_014934.1_2012			
