Organism,Scaffold,Start,End,Score,AE015928_3165,AE015928_3166,AE015928_3167,AE015928_3168,AE015928_3169,AE015928_3170,AE015928_3171,AE015928_3172,AE015928_3173,AE015928_3174,AE015928_3175,AE015928_3176,AE015928_3177,AE015928_3178,AE015928_3179,AE015928_3180,AE015928_3181,AE015928_3182,AE015928_3183,AE015928_3184,AE015928_3185,AE015928_3186,AE015928_3187,AE015928_3188,AE015928_3189,AE015928_3190
AAXF02000049,AAXF02000049.1,231312,243564,11.7354,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAXF02000049,AAXF02000049.1,248592,257511,9.4938,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AE015928,AE015928.1,3910955,3956529,51.9008,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
CP012801,CP012801.1,6804982,6815390,4.3735,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DS264579,DS264579.1,231312,243564,11.7354,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DS264579,DS264579.1,248592,257511,9.4938,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FP929033,FP929033.1,2660217,2683610,22.2272,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GL945092,GL945092.1,33840,57336,22.2291,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JH724241,JH724241.1,706433,728921,22.2284,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LT622246,LT622246.1,1272932,1285184,11.7354,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LT622246,LT622246.1,1290212,1299131,9.4938,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NC_004663,NC_004663.1,3910955,3956529,48.7798,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
NZ_ABJL02000007,NZ_ABJL02000007.1,1365595,1376264,4.3715,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NZ_CP012938,NZ_CP012938.1,3978865,3991117,11.7343,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NZ_CP012938,NZ_CP012938.1,3996145,4005064,9.4938,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NZ_CP113514,NZ_CP113514.1,6050075,6073466,22.2287,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NZ_DS264579,NZ_DS264579.1,231312,243564,11.7343,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NZ_DS264579,NZ_DS264579.1,248592,257511,9.4938,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
