Organism,Scaffold,Start,End,Score,JX087428_1,JX087428_2,JX087428_3,JX087428_4,JX087428_5,JX087428_6,JX087428_7,JX087428_8,JX087428_9,JX087428_10,JX087428_11,JX087428_12,JX087428_13,JX087428_14,JX087428_15
JX087428,JX087428.1,325,18201,20.9370,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1
NZ_KE386494,NZ_KE386494.1,333960,351825,22.9600,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
NZ_KE386494,NZ_KE386494.1,712515,718305,5.1858,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0
