Organism,Scaffold,Start,End,Score,NC_008618_1445,NC_008618_1446,NC_008618_1447,NC_008618_1448,NC_008618_1449,NC_008618_1450,NC_008618_1451,NC_008618_1452,NC_008618_1453
NC_008618,NC_008618.1,1763015,1778418,17.8984,1,1,1,1,1,1,1,1,1
NZ_AP012330,NZ_AP012330.1,1893755,1903196,6.2774,1,1,0,0,0,0,1,1,0
NZ_CP079235,NZ_CP079235.1,1948019,1957470,6.2768,1,1,0,0,0,0,1,1,0
