Organism,Scaffold,Start,End,Score,NZ_LSNE01000005_68,NZ_LSNE01000005_69,NZ_LSNE01000005_70,NZ_LSNE01000005_71,NZ_LSNE01000005_72,NZ_LSNE01000005_73,NZ_LSNE01000005_74,NZ_LSNE01000005_75,NZ_LSNE01000005_76,NZ_LSNE01000005_77,NZ_LSNE01000005_78,NZ_LSNE01000005_79,NZ_LSNE01000005_80,NZ_LSNE01000005_81,NZ_LSNE01000005_82,NZ_LSNE01000005_83,NZ_LSNE01000005_84,NZ_LSNE01000005_85,NZ_LSNE01000005_86,NZ_LSNE01000005_87
CP000388,CP000388.1,386769,396245,10.4237,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
CP000388,CP000388.1,927507,976304,6.2804,1,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0
CP000388,CP000388.1,2376030,2395425,6.1964,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1
CP001340,CP001340.1,888078,904739,4.1117,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
CP002534,CP002534.1,796268,801906,4.1371,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CP014864,CP014864.1,2372128,2385669,4.1155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
FP476056,FP476056.1,2611664,2617651,4.1392,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NC_007912,NC_007912.1,1610689,1616052,5.1179,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0
NC_014934,NC_014934.1,4409550,4415142,4.1436,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NZ_CP009976,NZ_CP009976.1,3662214,3667805,4.1447,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NZ_CP074436,NZ_CP074436.1,3676453,3682211,4.1299,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NZ_CP098511,NZ_CP098511.1,2790780,2797074,4.1345,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NZ_KB898707,NZ_KB898707.1,87117,145920,5.2268,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2
NZ_LSNE01000005,NZ_LSNE01000005.1,77023,176069,47.4033,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,4
NZ_PJAI02000001,NZ_PJAI02000001.1,312860,386124,14.6612,1,1,0,0,0,0,0,0,0,1,1,0,0,2,0,1,0,0,1,4
RHLF01000001,RHLF01000001.1,574422,580694,4.1339,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
