Organism,Scaffold,Start,End,Score,U07818_1,U07818_2,U07818_3,U07818_4,U07818_5
NC_009328,NC_009328.1,1268310,1273903,6.1927,1,1,1,0,1
NZ_CP020030,NZ_CP020030.1,1367495,1373087,9.2393,1,1,1,1,1
U07818,U07818.1,0,4306,9.2643,1,1,1,1,1
