Organism,Scaffold,Start,End,Score,CP002534_1789,CP002534_1790,CP002534_1791,CP002534_1792,CP002534_1793,CP002534_1794,CP002534_1795,CP002534_1796,CP002534_1797,CP002534_1798,CP002534_1799,CP002534_1800,CP002534_1801,CP002534_1802,CP002534_1803,CP002534_1804,CP002534_1805,CP002534_1806,CP002534_1807,CP002534_1808
CP002534,CP002534.1,1997202,2029289,41.0301,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FP476056,FP476056.1,3647621,3657429,10.3890,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1
NC_014934,NC_014934.1,473913,490052,14.5225,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1
NC_014934,NC_014934.1,509525,515143,4.2310,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
NZ_CP009976,NZ_CP009976.1,4522758,4534604,15.5492,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,1,1
NZ_CP009976,NZ_CP009976.1,4539793,4544399,5.2311,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
