genome	pulid	protein_id	contig	start	end	strand	dist	protein_name	sus	hmm	active
NZ_KB905472	PUL1	NZ_KB905472.1_1	NZ_KB905472.1	1	2739	+	0	NZ_KB905472.1_1	susC		
NZ_KB905472	PUL1	NZ_KB905472.1_2	NZ_KB905472.1	2751	4214	+	12	NZ_KB905472.1_2	susD		
NZ_KB905472	PUL1	NZ_KB905472.1_3	NZ_KB905472.1	4508	7477	+	294	NZ_KB905472.1_3	susC		
NZ_KB905472	PUL1	NZ_KB905472.1_4	NZ_KB905472.1	7499	9100	+	22	NZ_KB905472.1_4	susD		
NZ_KB905472	PUL2	NZ_KB905472.1_326	NZ_KB905472.1	424705	425592	+	415605	NZ_KB905472.1_326		GH25	
NZ_KB905472	PUL2	NZ_KB905472.1_327	NZ_KB905472.1	425749	427056	+	157	NZ_KB905472.1_327			
NZ_KB905472	PUL2	NZ_KB905472.1_328	NZ_KB905472.1	427063	428322	+	7	NZ_KB905472.1_328			
NZ_KB905472	PUL2	NZ_KB905472.1_329	NZ_KB905472.1	428341	428709	+	19	NZ_KB905472.1_329			
NZ_KB905472	PUL2	NZ_KB905472.1_330	NZ_KB905472.1	428916	430529	-	207	NZ_KB905472.1_330	susD		
NZ_KB905472	PUL2	NZ_KB905472.1_331	NZ_KB905472.1	430564	433662	-	35	NZ_KB905472.1_331	susC		
NZ_KB905472	PUL2	NZ_KB905472.1_332	NZ_KB905472.1	433754	436801	+	92	NZ_KB905472.1_332			
NZ_KB905472	PUL2	NZ_KB905472.1_333	NZ_KB905472.1	436913	437458	+	112	NZ_KB905472.1_333	susC		
NZ_KB905472	PUL2	NZ_KB905472.1_334	NZ_KB905472.1	437534	437902	+	76	NZ_KB905472.1_334			
NZ_KB905472	PUL2	NZ_KB905472.1_335	NZ_KB905472.1	437904	438248	+	2	NZ_KB905472.1_335			
NZ_KB905472	PUL2	NZ_KB905472.1_336	NZ_KB905472.1	438337	440118	+	89	NZ_KB905472.1_336			
NZ_KB905472	PUL2	NZ_KB905472.1_337	NZ_KB905472.1	440198	442738	+	80	NZ_KB905472.1_337			
NZ_KB905472	PUL2	NZ_KB905472.1_338	NZ_KB905472.1	442766	444394	+	28	NZ_KB905472.1_338	susD		
NZ_KB905472	PUL3	NZ_KB905472.1_416	NZ_KB905472.1	534318	537575	+	89924	NZ_KB905472.1_416	susC		
NZ_KB905472	PUL3	NZ_KB905472.1_417	NZ_KB905472.1	537606	539120	+	31	NZ_KB905472.1_417	susD		
NZ_KB905472	PUL3	NZ_KB905472.1_418	NZ_KB905472.1	539248	540888	+	128	NZ_KB905472.1_418		GH33;CBM93	
NZ_KB905472	PUL3	NZ_KB905472.1_419	NZ_KB905472.1	540919	542898	+	31	NZ_KB905472.1_419		GH20	
NZ_KB905472	PUL3	NZ_KB905472.1_420	NZ_KB905472.1	542900	543565	+	2	NZ_KB905472.1_420			
NZ_KB905472	PUL3	NZ_KB905472.1_421	NZ_KB905472.1	543562	545631	+	-3	NZ_KB905472.1_421		CE20	
NZ_KB905472	PUL3	NZ_KB905472.1_422	NZ_KB905472.1	545684	548284	+	53	NZ_KB905472.1_422		GH2_13	
