Organism,Scaffold,Start,End,Score,CP028460_1528,CP028460_1529,CP028460_1530,CP028460_1531,CP028460_1532,CP028460_1533,CP028460_1534,CP028460_1535
AE014295,AE014295.3,1696529,1699655,5.1563,0,0,0,1,1,1,0,0
CP000303,CP000303.1,2337396,2340540,5.1576,0,0,0,1,1,1,0,0
CP001095,CP001095.1,2773011,2776158,5.1576,0,0,0,1,1,1,0,0
CP001515,CP001515.1,1886919,1897997,12.6005,1,1,0,1,1,1,1,1
CP006712,CP006712.1,2203645,2206792,5.1555,0,0,0,1,1,1,0,0
CP028460,CP028460.1,1879107,1890055,12.6373,1,1,0,1,1,1,1,1
CP090790,CP090790.1,1278538,1281664,5.1555,0,0,0,1,1,1,0,0
NC_004307,NC_004307.2,1696529,1699655,5.1563,0,0,0,1,1,1,0,0
NC_011593,NC_011593.1,2773011,2776158,5.1576,0,0,0,1,1,1,0,0
NC_015067,NC_015067.1,2312659,2315785,5.1560,0,0,0,1,1,1,0,0
NC_020517,NC_020517.1,2337396,2340540,5.1576,0,0,0,1,1,1,0,0
NZ_AP022379,NZ_AP022379.1,2197089,2200215,5.1560,0,0,0,1,1,1,0,0
