genome	pulid	protein_id	contig	start	end	strand	dist	protein_name	sus	hmm	active
Ga0139390_150	PUL1	Ga0139390_150_26	Ga0139390_150	28977	30269	+	0	Ga0139390_150_26		GH5_7	
Ga0139390_150	PUL1	Ga0139390_150_27	Ga0139390_150	30256	31410	-	-13	Ga0139390_150_27		GH5_4	
Ga0139390_150	PUL1	Ga0139390_150_28	Ga0139390_150	31443	32606	-	33	Ga0139390_150_28		GH26	
Ga0139390_150	PUL1	Ga0139390_150_29	Ga0139390_150	32624	34189	-	18	Ga0139390_150_29		GH5_4	
Ga0139390_150	PUL1	Ga0139390_150_30	Ga0139390_150	34208	36667	-	19	Ga0139390_150_30			
Ga0139390_150	PUL1	Ga0139390_150_31	Ga0139390_150	36687	38117	-	20	Ga0139390_150_31			
Ga0139390_150	PUL1	Ga0139390_150_32	Ga0139390_150	38141	39913	-	24	Ga0139390_150_32	susD		
Ga0139390_150	PUL1	Ga0139390_150_33	Ga0139390_150	39930	43223	-	17	Ga0139390_150_33	susC		
Ga0139390_150	PUL1	Ga0139390_150_34	Ga0139390_150	43511	44866	+	288	Ga0139390_150_34		CE7	
Ga0139390_150	PUL1	Ga0139390_150_35	Ga0139390_150	44928	46064	+	62	Ga0139390_150_35		GH26	
Ga0139390_150	PUL1	Ga0139390_150_36	Ga0139390_150	46092	47282	+	28	Ga0139390_150_36		GH130_1	
